,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,2,1,0,0,4,2,3,2,0,869.9680272170899,672.0606647174666,29.0,2020-12-08,Tunisia,,Plan 1
1,3,0,2,2,1,0,0,4,2,3,2,0,764.3499250186276,672.0606647174666,29.0,2020-12-09,Tunisia,,Plan 1
2,3,0,2,2,1,0,0,4,2,3,2,0,699.1945304963216,672.0606647174666,29.0,2020-12-10,Tunisia,,Plan 1
3,3,0,2,2,1,0,0,4,2,3,2,0,650.5486315688089,672.0606647174666,29.0,2020-12-11,Tunisia,,Plan 1
4,3,0,2,2,1,0,0,4,2,3,2,0,609.4557467585311,672.0606647174666,29.0,2020-12-12,Tunisia,,Plan 1
5,3,0,2,2,1,0,0,4,2,3,2,0,572.5161029491906,672.0606647174666,29.0,2020-12-13,Tunisia,,Plan 1
6,3,0,2,2,1,0,0,4,2,3,2,0,538.3916890136962,672.0606647174666,29.0,2020-12-14,Tunisia,,Plan 1
7,3,0,2,2,1,0,0,4,2,3,2,0,506.512381772224,620.1384296539143,29.0,2020-12-15,Tunisia,,Plan 1
8,3,0,2,2,1,0,0,4,2,3,2,0,476.596660674447,579.0308204618884,29.0,2020-12-16,Tunisia,,Plan 1
9,3,0,2,2,1,0,0,4,2,3,2,0,448.47393259327134,543.2135921900242,29.0,2020-12-17,Tunisia,,Plan 1
10,3,0,2,2,1,0,0,4,2,3,2,0,422.0185302169242,510.56643485404066,29.0,2020-12-18,Tunisia,,Plan 1
11,3,0,2,2,1,0,0,4,2,3,2,0,397.12506392536693,480.2334801635886,29.0,2020-12-19,Tunisia,,Plan 1
12,3,0,2,2,1,0,0,4,2,3,2,0,373.6990743930969,451.8310475127181,29.0,2020-12-20,Tunisia,,Plan 1
13,3,0,2,2,1,0,0,4,2,3,2,0,351.6533825957269,425.1541465958653,29.0,2020-12-21,Tunisia,,Plan 1
14,1,0,2,2,1,0,0,4,2,3,2,0,336.25723154239574,400.8319822773184,19.0,2020-12-22,Tunisia,,Plan 1
15,1,0,2,2,1,0,0,4,2,3,2,0,324.4828905003284,379.1014436810157,19.0,2020-12-23,Tunisia,,Plan 1
16,1,0,2,2,1,0,0,4,2,3,2,0,314.9446159526603,360.0258270180714,19.0,2020-12-24,Tunisia,,Plan 1
17,1,0,2,2,1,0,0,4,2,3,2,0,306.93546076128274,343.5853885244083,19.0,2020-12-25,Tunisia,,Plan 1
18,1,0,2,2,1,0,0,4,2,3,2,0,300.04487556051254,329.7167901865719,19.0,2020-12-26,Tunisia,,Plan 1
19,1,0,2,2,1,0,0,4,2,3,2,0,294.005173672164,318.3319472264387,19.0,2020-12-27,Tunisia,,Plan 1
20,1,0,2,2,1,0,0,4,2,3,2,0,288.627059970589,309.328186851419,19.0,2020-12-28,Tunisia,,Plan 1
21,2,0,1,0,2,0,0,4,2,3,2,0,284.9274138217798,301.9953557484738,16.5,2020-12-29,Tunisia,,Plan 1
22,2,0,1,0,2,0,0,4,2,3,2,0,282.2743411013104,295.9655629771855,16.5,2020-12-30,Tunisia,,Plan 1
23,2,0,1,0,2,0,0,4,2,3,2,0,280.34728831298986,291.02308760008975,16.5,2020-12-31,Tunisia,,Plan 1
24,2,0,1,0,2,0,0,4,2,3,2,0,278.9585418226241,287.0263848945671,16.5,2021-01-01,Tunisia,,Plan 1
25,2,0,1,0,2,0,0,4,2,3,2,0,277.9836617935303,283.8747829278554,16.5,2021-01-02,Tunisia,,Plan 1
26,2,0,1,0,2,0,0,4,2,3,2,0,277.332926428627,281.4930333216358,16.5,2021-01-03,Tunisia,,Plan 1
27,2,0,1,0,2,0,0,4,2,3,2,0,276.93845019356206,279.82323192491765,16.5,2021-01-04,Tunisia,,Plan 1
28,2,0,1,0,2,0,0,4,2,3,2,0,276.7475483279073,278.6546797115073,16.5,2021-01-05,Tunisia,,Plan 1
29,2,0,1,0,2,0,0,4,2,3,2,0,276.7187952422855,277.86103030307515,16.5,2021-01-06,Tunisia,,Plan 1
30,2,0,1,0,2,0,0,4,2,3,2,0,276.8193938988999,277.3570453867766,16.5,2021-01-07,Tunisia,,Plan 1
31,2,0,1,0,2,0,0,4,2,3,2,0,277.0232776328928,277.08057907395784,16.5,2021-01-08,Tunisia,,Plan 1
32,2,0,1,0,2,0,0,4,2,3,2,0,277.3096803866257,276.9842960158286,16.5,2021-01-09,Tunisia,,Plan 1
33,2,0,1,0,2,0,0,4,2,3,2,0,277.66203278913986,277.0313112101876,16.5,2021-01-10,Tunisia,,Plan 1
34,2,0,1,0,2,0,0,4,2,3,2,0,278.0670986039599,277.1925466973873,16.5,2021-01-11,Tunisia,,Plan 1
35,1,0,1,1,2,0,0,4,2,3,2,0,279.88234714119284,277.6403750992852,14.0,2021-01-12,Tunisia,,Plan 1
36,1,0,1,1,2,0,0,4,2,3,2,0,282.5512790304957,278.4735870690295,14.0,2021-01-13,Tunisia,,Plan 1
37,1,0,1,1,2,0,0,4,2,3,2,0,285.82022054573576,279.75941944714896,14.0,2021-01-14,Tunisia,,Plan 1
38,1,0,1,1,2,0,0,4,2,3,2,0,289.5547480141228,281.54962950161035,14.0,2021-01-15,Tunisia,,Plan 1
39,1,0,1,1,2,0,0,4,2,3,2,0,293.6717545507801,283.88706866791813,14.0,2021-01-16,Tunisia,,Plan 1
40,1,0,1,1,2,0,0,4,2,3,2,0,298.1134667783753,286.8087020949518,14.0,2021-01-17,Tunisia,,Plan 1
41,1,0,1,1,2,0,0,4,2,3,2,0,302.83680243694374,290.34723121394944,14.0,2021-01-18,Tunisia,,Plan 1
42,1,0,1,1,2,0,0,4,2,3,2,0,307.80845673244227,294.3366754412708,14.0,2021-01-19,Tunisia,,Plan 1
43,1,0,1,1,2,0,0,4,2,3,2,0,313.0022708488466,298.6868171296067,14.0,2021-01-20,Tunisia,,Plan 1
44,1,0,1,1,2,0,0,4,2,3,2,0,318.39758177971294,303.34072587731765,14.0,2021-01-21,Tunisia,,Plan 1
45,1,0,1,1,2,0,0,4,2,3,2,0,323.978067547538,308.25834295351984,14.0,2021-01-22,Tunisia,,Plan 1
46,1,0,1,1,2,0,0,4,2,3,2,0,329.73088111301325,313.40964674812454,14.0,2021-01-23,Tunisia,,Plan 1
47,1,0,1,1,2,0,0,4,2,3,2,0,335.6459769662972,318.7714339178277,14.0,2021-01-24,Tunisia,,Plan 1
48,1,0,1,1,2,0,0,4,2,3,2,0,341.7155793782481,324.3255449094426,14.0,2021-01-25,Tunisia,,Plan 1
49,0,0,0,0,0,0,0,0,0,0,0,0,361.7959151608181,332.03803897063915,0.0,2021-01-26,Tunisia,,Plan 1
50,0,0,0,0,0,0,0,0,0,0,0,0,398.68021534607334,344.2777453273858,0.0,2021-01-27,Tunisia,,Plan 1
51,0,0,0,0,0,0,0,0,0,0,0,0,449.51301940196123,363.00852213056424,0.0,2021-01-28,Tunisia,,Plan 1
52,0,0,0,0,0,0,0,0,0,0,0,0,514.8900432474306,390.2816615162631,0.0,2021-01-29,Tunisia,,Plan 1
53,0,0,0,0,0,0,0,0,0,0,0,0,596.9048010754927,428.4493643680459,0.0,2021-01-30,Tunisia,,Plan 1
54,0,0,0,0,0,0,0,0,0,0,0,0,698.5897213657473,480.2984707108245,0.0,2021-01-31,Tunisia,,Plan 1
55,0,0,0,0,0,0,0,0,0,0,0,0,823.8292148347917,549.1718472046165,0.0,2021-02-01,Tunisia,,Plan 1
56,0,0,0,0,0,0,0,0,0,0,0,0,977.4424445202447,637.1213513988203,0.0,2021-02-02,Tunisia,,Plan 1
57,0,0,0,0,0,0,0,0,0,0,0,0,1165.343540577936,746.6446835748005,0.0,2021-02-03,Tunisia,,Plan 1
58,0,0,0,0,0,0,0,0,0,0,0,0,1394.7553686542383,881.6793048965545,0.0,2021-02-04,Tunisia,,Plan 1
59,0,0,0,0,0,0,0,0,0,0,0,0,1674.4752633623145,1047.334336341538,0.0,2021-02-05,Tunisia,,Plan 1
60,0,0,0,0,0,0,0,0,0,0,0,0,2015.1989735991829,1249.9477895592079,0.0,2021-02-06,Tunisia,,Plan 1
61,3,3,2,4,2,3,2,4,2,3,2,4,770.1530628242633,422.9220786309242,78.00999999999999,2020-12-08,Tunisia,,Plan 2
62,3,3,2,4,2,3,2,4,2,3,2,4,585.9170685986803,422.9220786309242,78.00999999999999,2020-12-09,Tunisia,,Plan 2
63,3,3,2,4,2,3,2,4,2,3,2,4,463.52487750375525,422.9220786309242,78.00999999999999,2020-12-10,Tunisia,,Plan 2
64,3,3,2,4,2,3,2,4,2,3,2,4,374.70193199372886,422.9220786309242,78.00999999999999,2020-12-11,Tunisia,,Plan 2
65,3,3,2,4,2,3,2,4,2,3,2,4,306.3653051424941,422.9220786309242,78.00999999999999,2020-12-12,Tunisia,,Plan 2
66,3,3,2,4,2,3,2,4,2,3,2,4,251.96031072437546,422.9220786309242,78.00999999999999,2020-12-13,Tunisia,,Plan 2
67,3,3,2,4,2,3,2,4,2,3,2,4,207.83199362917188,422.9220786309242,78.00999999999999,2020-12-14,Tunisia,,Plan 2
68,3,3,2,4,2,3,2,4,2,3,2,4,171.6885708200836,337.4271512017557,78.00999999999999,2020-12-15,Tunisia,,Plan 2
69,3,3,2,4,2,3,2,4,2,3,2,4,141.9371245666062,274.0014449114593,78.00999999999999,2020-12-16,Tunisia,,Plan 2
70,3,3,2,4,2,3,2,4,2,3,2,4,117.3853083328212,224.55293502989733,78.00999999999999,2020-12-17,Tunisia,,Plan 2
71,3,3,2,4,2,3,2,4,2,3,2,4,97.09862617176799,184.89531991247435,78.00999999999999,2020-12-18,Tunisia,,Plan 2
72,3,3,2,4,2,3,2,4,2,3,2,4,80.32545293883028,152.60391245480807,78.00999999999999,2020-12-19,Tunisia,,Plan 2
73,3,3,2,4,2,3,2,4,2,3,2,4,66.45284849709306,126.10284642233918,78.00999999999999,2020-12-20,Tunisia,,Plan 2
74,3,3,2,4,2,3,2,4,2,3,2,4,54.977390464772554,104.2664745417107,78.00999999999999,2020-12-21,Tunisia,,Plan 2
75,3,3,2,4,2,3,2,4,2,3,2,4,45.484103609036424,86.23726494013252,78.00999999999999,2020-12-22,Tunisia,,Plan 2
76,3,3,2,4,2,3,2,4,2,3,2,4,37.6302940061962,71.33628914578824,78.00999999999999,2020-12-23,Tunisia,,Plan 2
77,3,3,2,4,2,3,2,4,2,3,2,4,31.13269883417383,59.014487788838615,78.00999999999999,2020-12-24,Tunisia,,Plan 2
78,3,3,2,4,2,3,2,4,2,3,2,4,25.757071919249785,48.82283718133602,78.00999999999999,2020-12-25,Tunisia,,Plan 2
79,3,3,2,4,2,3,2,4,2,3,2,4,21.309657230008654,40.39200922293293,78.00999999999999,2020-12-26,Tunisia,,Plan 2
80,3,3,2,4,2,3,2,4,2,3,2,4,17.63017168305053,33.41734110664114,78.00999999999999,2020-12-27,Tunisia,,Plan 2
81,3,3,2,4,2,3,2,4,2,3,2,4,14.586014874657696,27.647144593767592,78.00999999999999,2020-12-28,Tunisia,,Plan 2
82,3,3,2,4,2,3,2,4,2,3,2,4,12.067484892012,22.873341919906952,78.00999999999999,2020-12-29,Tunisia,,Plan 2
83,3,3,2,4,2,3,2,4,2,3,2,4,9.983822773164224,18.923846029473818,78.00999999999999,2020-12-30,Tunisia,,Plan 2
84,3,3,2,4,2,3,2,4,2,3,2,4,8.259941006708878,15.656309196978825,78.00999999999999,2020-12-31,Tunisia,,Plan 2
85,3,3,2,4,2,3,2,4,2,3,2,4,6.8337173331215,12.952972827531926,78.00999999999999,2021-01-01,Tunisia,,Plan 2
86,3,3,2,4,2,3,2,4,2,3,2,4,5.6537559833455475,10.716415506580054,78.00999999999999,2021-01-02,Tunisia,,Plan 2
87,3,3,2,4,2,3,2,4,2,3,2,4,4.677535540671612,8.866038914811638,78.00999999999999,2021-01-03,Tunisia,,Plan 2
88,3,3,2,4,2,3,2,4,2,3,2,4,3.869876628093521,7.335162022445327,78.00999999999999,2021-01-04,Tunisia,,Plan 2
89,3,3,2,4,2,3,2,4,2,3,2,4,3.201674182256583,6.06861763533741,78.00999999999999,2021-01-05,Tunisia,,Plan 2
90,3,3,2,4,2,3,2,4,2,3,2,4,2.6488486230383734,5.020764185319431,78.00999999999999,2021-01-06,Tunisia,,Plan 2
