C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,1,0,2,0,0,4,2,3,2,0,906.8388477009863,788.902886037211,21.5,2020-12-08,Tunisia,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,833.6552736095011,788.902886037211,21.5,2020-12-09,Tunisia,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,796.6720472067426,788.902886037211,21.5,2020-12-10,Tunisia,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,772.8710035961218,788.902886037211,21.5,2020-12-11,Tunisia,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,754.0064397096487,788.902886037211,21.5,2020-12-12,Tunisia,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,737.1218964166295,788.902886037211,21.5,2020-12-13,Tunisia,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,721.1546940208473,788.902886037211,21.5,2020-12-14,Tunisia,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,705.7203333754313,760.1716697049889,21.5,2020-12-15,Tunisia,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,690.6771992237593,739.7462305070258,21.5,2020-12-16,Tunisia,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,675.9707048766678,722.5031816027295,21.5,2020-12-17,Tunisia,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,661.5774987146119,706.6041094767995,21.5,2020-12-18,Tunisia,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,647.4854708693753,691.3868282139032,21.5,2020-12-19,Tunisia,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,633.6865963354318,676.6103567737322,21.5,2020-12-20,Tunisia,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,620.1743834311221,662.184598118057,21.5,2020-12-21,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,643.0355045210139,653.2296225674262,0.0,2020-12-22,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,699.8994496953792,654.5470869205145,0.0,2020-12-23,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,782.2217251464701,669.7258041019147,0.0,2020-12-24,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,889.8753007689412,702.339775823962,0.0,2020-12-25,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1026.025495706072,756.4169222292041,0.0,2020-12-26,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1195.633534265543,836.6950562192203,0.0,2020-12-27,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1405.1542899893695,948.8350428703984,0.0,2020-12-28,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1662.6330894124646,1094.4918407120342,0.0,2020-12-29,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1977.9612254685778,1277.0720943939198,0.0,2020-12-30,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,2363.2263214809577,1502.9298938702752,0.0,2020-12-31,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,2833.1481587430517,1780.540302152291,0.0,2021-01-01,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,3405.6077088528627,2120.4806183161177,0.0,2021-01-02,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,4102.283087944829,2535.71626884173,0.0,2021-01-03,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,4949.409016930384,3042.038372690447,0.0,2021-01-04,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5912.392366637845,3649.146840865501,14.0,2021-01-05,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,6808.007777154701,4339.153491106375,14.0,2021-01-06,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,7639.793010744227,5092.9487324297,14.0,2021-01-07,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,8404.343146818632,5888.833730726212,14.0,2021-01-08,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,9099.918686731247,6702.306727565981,14.0,2021-01-09,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,9728.0343926673,7505.985485383477,14.0,2021-01-10,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,10292.870730441226,8269.337158742168,14.0,2021-01-11,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,10800.235460627346,8967.600457883525,14.0,2021-01-12,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,11256.645595713746,9603.120146249104,14.0,2021-01-13,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,11668.668087001826,10178.673728571619,14.0,2021-01-14,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,12042.506199882173,10698.411307580694,14.0,2021-01-15,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,12383.774872723316,11167.533619865277,14.0,2021-01-16,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,12697.407161740202,11591.729729732831,14.0,2021-01-17,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,12987.642538455815,11976.697130877776,14.0,2021-01-18,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,13258.063702989366,12327.815451215207,14.0,2021-01-19,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,13511.657974081596,12649.960076696329,14.0,2021-01-20,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,13750.887899622217,12947.42004992781,14.0,2021-01-21,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,13977.76282254712,13223.885281737092,14.0,2021-01-22,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,14193.906249626423,13482.475478437536,14.0,2021-01-23,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,14400.616800714255,13725.791141148115,14.0,2021-01-24,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,14598.92174015069,13955.97388424738,14.0,2021-01-25,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,14789.62318933348,14174.768096582256,14.0,2021-01-26,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,14973.337501954618,14383.579457706976,14.0,2021-01-27,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,15150.528448065012,14583.528107484517,14.0,2021-01-28,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,15321.535044105838,14775.495567707187,14.0,2021-01-29,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,15486.594783306291,14960.165358232884,14.0,2021-01-30,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,15645.86287972449,15138.057655234346,14.0,2021-01-31,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,15799.428263432199,15309.558587131703,14.0,2021-02-01,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,15947.326859507493,15474.944825727993,14.0,2021-02-02,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,16089.552561730226,15634.404119981653,14.0,2021-02-03,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,16226.06626662121,15788.052379775392,14.0,2021-02-04,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,16356.803422206554,15935.947862361209,14.0,2021-02-05,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,16481.68027570834,16078.10293270436,14.0,2021-02-06,Tunisia,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,770.1530628242633,422.9220786309242,78.00999999999998,2020-12-08,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,585.9170685986803,422.9220786309242,78.00999999999998,2020-12-09,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,463.52487750375525,422.9220786309242,78.00999999999998,2020-12-10,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,374.70193199372886,422.9220786309242,78.00999999999998,2020-12-11,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,306.36530514249415,422.9220786309242,78.00999999999998,2020-12-12,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,251.96031072437543,422.9220786309242,78.00999999999998,2020-12-13,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,207.83199362917188,422.9220786309242,78.00999999999998,2020-12-14,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,171.6885708200836,337.4271512017557,78.00999999999998,2020-12-15,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,141.93712456660617,274.0014449114593,78.00999999999998,2020-12-16,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,117.3853083328212,224.5529350298973,78.00999999999998,2020-12-17,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,97.098626171768,184.89531991247438,78.00999999999998,2020-12-18,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,80.32545293883028,152.6039124548081,78.00999999999998,2020-12-19,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,66.45284849709307,126.1028464223392,78.00999999999998,2020-12-20,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,54.97739046477256,104.2664745417107,78.00999999999998,2020-12-21,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,45.484103609036424,86.23726494013252,78.00999999999998,2020-12-22,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,37.6302940061962,71.33628914578823,78.00999999999998,2020-12-23,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,31.132698834173826,59.014487788838615,78.00999999999998,2020-12-24,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,25.75707191924979,48.82283718133602,78.00999999999998,2020-12-25,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,21.309657230008654,40.39200922293293,78.00999999999998,2020-12-26,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,17.63017168305053,33.41734110664114,78.00999999999998,2020-12-27,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,14.586014874657696,27.64714459376759,78.00999999999998,2020-12-28,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,12.067484892012,22.87334191990695,78.00999999999998,2020-12-29,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,9.983822773164224,18.923846029473818,78.00999999999998,2020-12-30,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,8.259941006708878,15.656309196978825,78.00999999999998,2020-12-31,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,6.8337173331215,12.952972827531926,78.00999999999998,2021-01-01,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5.653755983345548,10.716415506580054,78.00999999999998,2021-01-02,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4.677535540671612,8.866038914811636,78.00999999999998,2021-01-03,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3.8698766280935217,7.335162022445327,78.00999999999998,2021-01-04,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3.201674182256583,6.06861763533741,78.00999999999998,2021-01-05,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2.648848623038373,5.020764185319432,78.00999999999998,2021-01-06,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2.191478120975002,4.1538409159288765,78.00999999999998,2021-01-07,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1.8130806925770169,3.436607110136808,78.00999999999998,2021-01-08,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1.5000202533184743,2.843216291561512,78.00999999999998,2021-01-09,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1.241015225113054,2.3522848179102893,78.00999999999998,2021-01-10,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1.0267319906975152,1.946121298282288,78.00999999999998,2021-01-11,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.8494485454221435,1.6100890644487968,78.00999999999998,2021-01-12,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.7027762227893712,1.3320787215560828,78.00999999999998,2021-01-13,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.5814294722061459,1.10207177173196,78.00999999999998,2021-01-14,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.4810353864934006,0.9117795851485864,78.00999999999998,2021-01-15,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.3979761178430656,0.7543447086520995,78.00999999999998,2021-01-16,Tunisia,,Plan 2
