C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,954.2481450755463,654.5379704605336,0.1238653571428562,2021-05-13,Tunisia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,805.71776863514,654.5379704605336,0.1238653571428562,2021-05-14,Tunisia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,703.5585199205466,654.5379704605336,0.1238653571428562,2021-05-15,Tunisia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,623.2371546968398,654.5379704605336,0.1238653571428562,2021-05-16,Tunisia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,555.3670589927489,654.5379704605336,0.1238653571428562,2021-05-17,Tunisia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,496.08158236799034,654.5379704605336,0.1238653571428562,2021-05-18,Tunisia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,443.5555635349237,654.5379704605336,0.1238653571428562,2021-05-19,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,413.71234951762284,577.318571095116,0.0743296428571422,2021-05-20,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,394.2098106593363,518.5317199557155,0.0743296428571422,2021-05-21,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,380.2286696660721,472.34174134793335,0.0743296428571422,2021-05-22,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,369.700845442276,436.1222685972815,0.0743296428571422,2021-05-23,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,361.58253762536265,408.43876554479766,0.0743296428571422,2021-05-24,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,355.2481246253316,388.31970015298936,0.0743296428571422,2021-05-25,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,350.27293087863853,374.99360977352006,0.0743296428571422,2021-05-26,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,342.00150239154067,364.7492030412226,0.0955126785714278,2021-05-27,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,332.201424754622,355.89086219769194,0.0955126785714278,2021-05-28,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,321.63278686945563,347.52002179817526,0.0955126785714278,2021-05-29,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,310.68400786296564,339.08904500113096,0.0955126785714278,2021-05-30,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,299.58750790437404,330.23261218384687,0.0955126785714278,2021-05-31,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,288.4977407710535,320.69684306180716,0.0955126785714278,2021-06-01,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,277.5228137997496,310.30396919339444,0.0955126785714278,2021-06-02,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,270.1274213977187,300.0362433371341,0.0743296428571422,2021-06-03,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,264.72697606533853,290.39703638152224,0.0743296428571422,2021-06-04,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,260.6066098136996,281.67901108784275,0.0743296428571422,2021-06-05,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,257.39212782283334,274.0658853678239,0.0743296428571422,2021-06-06,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,254.855551179847,267.67560583574857,0.0743296428571422,2021-06-07,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,252.8410617594467,262.5817945483762,0.0743296428571422,2021-06-08,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,251.23447894176147,258.8263181400922,0.0743296428571422,2021-06-09,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,254.01154122753368,256.52404954435144,0.050539464285713806,2021-06-10,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,259.73855224457037,255.811417569956,0.050539464285713806,2021-06-11,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,267.62514437087873,256.8140653638388,0.050539464285713806,2021-06-12,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,277.3086976015827,259.6592896179459,0.050539464285713806,2021-06-13,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,288.5994301148365,264.4798437515157,0.050539464285713806,2021-06-14,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,301.38779867755335,271.41509188267383,0.050539464285713806,2021-06-15,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,315.6088411693741,280.61142934376136,0.050539464285713806,2021-06-16,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,331.2268217856221,291.64218370920264,0.050539464285713806,2021-06-17,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,348.227524944454,304.28346552347165,0.050539464285713806,2021-06-18,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,366.61376118221983,318.42469649652037,0.050539464285713806,2021-06-19,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,386.4024369276041,334.0095164002377,0.050539464285713806,2021-06-20,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,407.6225104377254,351.0128135892218,0.050539464285713806,2021-06-21,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,430.3135259352197,369.43077462603134,0.050539464285713806,2021-06-22,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,454.52454543233404,389.27587523502564,0.050539464285713806,2021-06-23,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,505.2084952508957,414.13040001577895,0.0,2021-06-24,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,586.8394479075776,448.21781758193947,0.0,2021-06-25,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,699.8845456442232,495.8279296479399,0.0,2021-06-26,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,850.6108234032138,562.14341343017,0.0,2021-06-27,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1048.982381406687,653.7662521400216,0.0,2021-06-28,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1308.6127796898304,779.2375741049658,0.0,2021-06-29,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1647.512061057677,949.6643620514433,0.0,2021-06-30,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2039.024144514893,1168.7808833748718,0.050539464285713806,2021-07-01,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2437.3477580007066,1433.139213388176,0.050539464285713806,2021-07-02,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2842.8264606552552,1739.273772675466,0.050539464285713806,2021-07-03,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3252.718389263457,2082.4319963697867,0.050539464285713806,2021-07-04,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3664.685724400423,2456.103902511749,0.050539464285713806,2021-07-05,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4077.5577723488677,2851.6674728916114,0.050539464285713806,2021-07-06,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4491.283295248266,3257.9205063474096,0.050539464285713806,2021-07-07,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4906.673694292576,3667.5847277442217,0.050539464285713806,2021-07-08,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,5325.131651946635,4080.125284022212,0.050539464285713806,2021-07-09,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,5748.424837208506,4495.210766386962,0.050539464285713806,2021-07-10,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,6178.516172242212,4913.181878241071,0.050539464285713806,2021-07-11,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,6617.445464172506,5335.0046982085105,0.050539464285713806,2021-07-12,Tunisia,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,836.2813567565213,406.3877373162137,0.4745260714285701,2021-05-13,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,604.0267728959823,406.3877373162137,0.4745260714285701,2021-05-14,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,449.5324556039338,406.3877373162137,0.4745260714285701,2021-05-15,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,340.3971330007145,406.3877373162137,0.4745260714285701,2021-05-16,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,260.25665513444926,406.3877373162137,0.4745260714285701,2021-05-17,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,200.0346260555197,406.3877373162137,0.4745260714285701,2021-05-18,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,154.1851617663751,406.3877373162137,0.4745260714285701,2021-05-19,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,119.02594032643448,303.9226778262013,0.4745260714285701,2021-05-20,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,91.95898993303032,230.77013740292244,0.4745260714285701,2021-05-21,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,71.07801891245029,176.7052178755677,0.4745260714285701,2021-05-22,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,54.95116300508555,135.9272221619064,0.4745260714285701,2021-05-23,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,42.48855328862511,104.81749332678864,0.4745260714285701,2021-05-24,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,32.854545192060165,80.93462463200869,0.4745260714285701,2021-05-25,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,25.40587245389656,62.53758330165464,0.4745260714285701,2021-05-26,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,19.646301967054022,48.34049210745742,0.4745260714285701,2021-05-27,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,15.192589084933314,37.37386341487214,0.4745260714285701,2021-05-28,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,11.748570764181908,28.89822796511952,0.4745260714285701,2021-05-29,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,9.085304443423164,22.345962456310613,0.4745260714285701,2021-05-30,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,7.0257803545728095,17.27985203716028,0.4745260714285701,2021-05-31,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5.4331286304559585,13.362506814073965,0.4745260714285701,2021-06-01,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4.20151174436032,10.333312426997356,0.4745260714285701,2021-06-02,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3.2490864598117786,7.990853068819893,0.4745260714285701,2021-06-03,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2.512563243585998,6.179420805770277,0.4745260714285701,2021-06-04,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1.9429998196908027,4.778624956557262,0.4745260714285701,2021-06-05,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1.5025486088841224,3.695374123051685,0.4745260714285701,2021-06-06,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1.16194161846873,2.8576828750368164,0.4745260714285701,2021-06-07,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.8985455322547886,2.209885289579506,0.4745260714285701,2021-06-08,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.6948576997008462,1.7089347117710094,0.4745260714285701,2021-06-09,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.5373430837260091,1.321542800901614,0.4745260714285701,2021-06-10,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.4155348541962496,1.0219673167030785,0.4745260714285701,2021-06-11,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.3213388669398529,0.7903014663100855,0.4745260714285701,2021-06-12,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.2484957923194521,0.6111510639437041,0.4745260714285701,2021-06-13,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.1921652356014046,0.4726115806769434,0.4745260714285701,2021-06-14,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.1486040362454821,0.3654770812470424,0.4745260714285701,2021-06-15,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.11491755792561223,0.2826284895648661,0.4745260714285701,2021-06-16,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.08886733704822243,0.2185605257537537,0.4745260714285701,2021-06-17,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,0.06872234070868494,0.1690158809698159,0.4745260714285701,2021-06-18,Tunisia,,Plan 2
