C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
1,0,1,1,2,0,0,4,2,3,2,0,1125.5959511035353,1214.835800191736,14.0,2021-05-13,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1126.9577793406825,1214.835800191736,14.0,2021-05-14,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1158.3514337785232,1214.835800191736,14.0,2021-05-15,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1200.4581008306748,1214.835800191736,14.0,2021-05-16,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1247.2144921235326,1214.835800191736,14.0,2021-05-17,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1296.7502599239278,1214.835800191736,14.0,2021-05-18,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1348.5225842412756,1214.835800191736,14.0,2021-05-19,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1392.1722823255109,1252.9181332234468,16.5,2021-05-20,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1431.6169944492535,1296.4408782389569,16.5,2021-05-21,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1468.463696169584,1340.7426300091083,16.5,2021-05-22,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1503.523201530232,1384.0376443947596,16.5,2021-05-23,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1537.2951240086495,1425.477734664062,16.5,2021-05-24,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1570.1324831764025,1464.5323379858442,16.5,2021-05-25,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1602.3036747108918,1500.7867794815031,16.5,2021-05-26,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1644.6315635234046,1536.8523910812023,14.0,2021-05-27,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1693.5076130747268,1574.2653365991268,14.0,2021-05-28,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1747.5050283303317,1614.1283840506626,14.0,2021-05-29,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1805.9714680365664,1657.3352792658536,14.0,2021-05-30,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1868.5560046331327,1704.658262212208,14.0,2021-05-31,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1935.045243377648,1756.7886565266715,14.0,2021-06-01,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2005.3024018605008,1814.35990326233,14.0,2021-06-02,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2079.2415139499867,1876.447039037556,14.0,2021-06-03,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2156.814341609613,1942.63371454254,14.0,2021-06-04,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2238.002403351988,2012.7047681170625,14.0,2021-06-05,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2322.8114350677342,2086.539049121515,14.0,2021-06-06,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2411.2672387973835,2164.069225430693,14.0,2021-06-07,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2503.412435168821,2245.264538543718,14.0,2021-06-08,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2599.3038706374755,2330.121891226144,14.0,2021-06-09,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2699.010525922713,2418.6603215079613,14.0,2021-06-10,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2802.611794882974,2510.9171005470125,14.0,2021-06-11,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2910.196063642439,2606.944766302792,14.0,2021-06-12,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3021.859533429373,2706.808780354454,14.0,2021-06-13,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3137.705230136421,2810.585636260031,14.0,2021-06-14,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3257.8421569484804,2918.361310799982,14.0,2021-06-15,Tunisia,,Plan 1
