C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,2,0,2,0,0,4,2,3,2,0,823.9187567673906,772.8703538750789,1.1075871137409594,2020-09-28,United Arab Emirates,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,784.8954764844507,772.8703538750789,1.1075871137409594,2020-09-29,United Arab Emirates,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,770.1142167177252,772.8703538750789,1.1075871137409594,2020-09-30,United Arab Emirates,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,763.3200762257663,772.8703538750789,1.1075871137409594,2020-10-01,United Arab Emirates,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,759.1553371116147,772.8703538750789,1.1075871137409594,2020-10-02,United Arab Emirates,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,755.8541268367273,772.8703538750789,1.1075871137409594,2020-10-03,United Arab Emirates,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,752.8344869818767,772.8703538750789,1.1075871137409594,2020-10-04,United Arab Emirates,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,749.904719950395,762.2969200440795,1.1075871137409594,2020-10-05,United Arab Emirates,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,747.0017592723143,756.8835318709171,1.1075871137409594,2020-10-06,United Arab Emirates,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,744.1049480963078,753.1679220678574,1.1075871137409594,2020-10-07,United Arab Emirates,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,741.2076053768996,750.0089976608766,1.1075871137409594,2020-10-08,United Arab Emirates,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,738.307654931051,747.0307573493674,1.1075871137409594,2020-10-09,United Arab Emirates,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,735.4045469080927,744.109388788134,1.1075871137409594,2020-10-10,United Arab Emirates,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,732.4982219250924,741.2042080657362,1.1075871137409594,2020-10-11,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,735.4570619346239,739.1402569206259,0.8389316239316235,2020-10-12,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,743.4125095427463,738.6275069592592,0.8389316239316235,2020-10-13,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,754.7497258554316,740.1481894962767,0.8389316239316235,2020-10-14,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,768.6840705261708,744.0733988033154,0.8389316239316235,2020-10-15,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,784.7628554551081,750.7098560210379,0.8389316239316235,2020-10-16,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,802.6864254073301,760.3215529495004,0.8389316239316235,2020-10-17,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,822.2390888840719,773.1416768007832,0.8389316239316235,2020-10-18,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,843.2589828630124,788.5419512191245,0.8389316239316235,2020-10-19,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,865.6225575551692,806.0005295066134,0.8389316239316235,2020-10-20,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,889.2352157455967,825.2127423480658,0.8389316239316235,2020-10-21,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,914.0249573057604,845.9757261737213,0.8389316239316235,2020-10-22,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,939.9377410644375,868.1435669750541,0.8389316239316235,2020-10-23,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,966.9339686541553,891.6075017246004,0.8389316239316235,2020-10-24,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,994.9857522015207,916.285596484236,0.8389316239316235,2020-10-25,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1024.0747644294254,942.116422422295,0.8389316239316235,2020-10-26,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1054.1905310871998,969.0547043554424,0.8389316239316235,2020-10-27,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1085.3290620875177,997.0681109757166,0.8389316239316235,2020-10-28,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1117.4917503419335,1026.13479569517,0.8389316239316235,2020-10-29,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1150.6844838590446,1056.2414732372567,0.8389316239316235,2020-10-30,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1184.9169200221615,1087.3818948612577,0.8389316239316235,2020-10-31,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1220.201894517614,1119.5556294778423,0.8389316239316235,2020-11-01,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1256.554942607244,1152.767083503245,0.8389316239316235,2020-11-02,United Arab Emirates,,Plan 1
