,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,765.6068682223727,586.0363536087042,0.12386535714285621,2020-09-28,United Arab Emirates,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,675.6639724469217,586.0363536087042,0.12386535714285621,2020-09-29,United Arab Emirates,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,616.0520843976919,586.0363536087042,0.12386535714285621,2020-09-30,United Arab Emirates,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,568.968668524768,586.0363536087042,0.12386535714285621,2020-10-01,United Arab Emirates,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,528.0693420171119,586.0363536087042,0.12386535714285621,2020-10-02,United Arab Emirates,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,491.0161711207153,586.0363536087042,0.12386535714285621,2020-10-03,United Arab Emirates,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,456.87736853134777,586.0363536087042,0.12386535714285621,2020-10-04,United Arab Emirates,,Plan 1
7,3,0,2,1,2,0,0,0,2,3,2,4,440.57468257557935,539.6031842305908,0.06357517857142801,2020-10-05,United Arab Emirates,,Plan 1
8,3,0,2,1,2,0,0,0,2,3,2,4,433.80633293354657,505.0520928715373,0.06357517857142801,2020-10-06,United Arab Emirates,,Plan 1
9,3,0,2,1,2,0,0,0,2,3,2,4,432.32063597671686,478.80474309711224,0.06357517857142801,2020-10-07,United Arab Emirates,,Plan 1
10,3,0,2,1,2,0,0,0,2,3,2,4,434.33056051397426,459.57072766699883,0.06357517857142801,2020-10-08,United Arab Emirates,,Plan 1
11,3,0,2,1,2,0,0,0,2,3,2,4,438.9491518019951,446.83927192198223,0.06357517857142801,2020-10-09,United Arab Emirates,,Plan 1
12,3,0,2,1,2,0,0,0,2,3,2,4,445.6515808188599,440.35861616457424,0.06357517857142801,2020-10-10,United Arab Emirates,,Plan 1
13,3,0,2,1,2,0,0,0,2,3,2,4,454.084821112656,439.95968081904687,0.06357517857142801,2020-10-11,United Arab Emirates,,Plan 1
14,0,0,0,0,0,0,0,0,0,0,0,0,483.8613137885359,446.1434852780407,0.0,2020-10-12,United Arab Emirates,,Plan 1
15,0,0,0,0,0,0,0,0,0,0,0,0,539.283816560868,461.21169722480084,0.0,2020-10-13,United Arab Emirates,,Plan 1
16,0,0,0,0,0,0,0,0,0,0,0,0,617.0292991478269,487.598649106388,0.0,2020-10-14,United Arab Emirates,,Plan 1
17,0,0,0,0,0,0,0,0,0,0,0,0,719.0667401753342,528.2752462008681,0.0,2020-10-15,United Arab Emirates,,Plan 1
18,0,0,0,0,0,0,0,0,0,0,0,0,849.8174295629136,586.9707144524278,0.0,2020-10-16,United Arab Emirates,,Plan 1
19,0,0,0,0,0,0,0,0,0,0,0,0,1015.4896597678038,668.3761543022769,0.0,2020-10-17,United Arab Emirates,,Plan 1
20,0,0,0,0,0,0,0,0,0,0,0,0,1224.1202544691214,778.3812162103434,0.0,2020-10-18,United Arab Emirates,,Plan 1
21,3,0,2,4,2,0,0,0,2,3,2,4,1463.6467213089502,918.3505601418311,0.0743296428571422,2020-10-19,United Arab Emirates,,Plan 1
