,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,1,0,1,1,2,0,0,4,2,3,2,0,874.5364893158508,953.1121269218469,14.0,2020-09-28,United Arab Emirates,,Plan 1
1,1,0,1,1,2,0,0,4,2,3,2,0,879.2222257098821,953.1121269218469,14.0,2020-09-29,United Arab Emirates,,Plan 1
2,1,0,1,1,2,0,0,4,2,3,2,0,906.3615451396164,953.1121269218469,14.0,2020-09-30,United Arab Emirates,,Plan 1
3,1,0,1,1,2,0,0,4,2,3,2,0,941.7963018384655,953.1121269218469,14.0,2020-10-01,United Arab Emirates,,Plan 1
4,1,0,1,1,2,0,0,4,2,3,2,0,981.0198405119443,953.1121269218469,14.0,2020-10-02,United Arab Emirates,,Plan 1
5,1,0,1,1,2,0,0,4,2,3,2,0,1022.6289388391842,953.1121269218469,14.0,2020-10-03,United Arab Emirates,,Plan 1
6,1,0,1,1,2,0,0,4,2,3,2,0,1066.2195470979855,953.1121269218469,14.0,2020-10-04,United Arab Emirates,,Plan 1
7,2,0,1,0,2,0,0,4,2,3,2,0,1108.049620091216,986.471145604042,16.5,2020-10-05,United Arab Emirates,,Plan 1
8,2,0,1,0,2,0,0,4,2,3,2,0,1147.0607665911625,1024.7337943013677,16.5,2020-10-06,United Arab Emirates,,Plan 1
9,2,0,1,0,2,0,0,4,2,3,2,0,1184.635063138878,1064.487154015548,16.5,2020-10-07,United Arab Emirates,,Plan 1
10,2,0,1,0,2,0,0,4,2,3,2,0,1221.4257856225279,1104.4342231275568,16.5,2020-10-08,United Arab Emirates,,Plan 1
11,2,0,1,0,2,0,0,4,2,3,2,0,1257.8108975205726,1143.975802700218,16.5,2020-10-09,United Arab Emirates,,Plan 1
12,2,0,1,0,2,0,0,4,2,3,2,0,1294.0477064502065,1182.7499123589355,16.5,2020-10-10,United Arab Emirates,,Plan 1
13,2,0,1,0,2,0,0,4,2,3,2,0,1330.3296339254189,1220.4799247628546,16.5,2020-10-11,United Arab Emirates,,Plan 1
14,1,0,1,1,2,0,0,4,2,3,2,0,1370.9176750451447,1258.032504041987,14.0,2020-10-12,United Arab Emirates,,Plan 1
15,1,0,1,1,2,0,0,4,2,3,2,0,1417.0380250463688,1296.6006838213023,14.0,2020-10-13,United Arab Emirates,,Plan 1
16,1,0,1,1,2,0,0,4,2,3,2,0,1467.487501855925,1337.0081750665947,14.0,2020-10-14,United Arab Emirates,,Plan 1
17,1,0,1,1,2,0,0,4,2,3,2,0,1521.7639509140872,1379.9136272511034,14.0,2020-10-15,United Arab Emirates,,Plan 1
18,1,0,1,1,2,0,0,4,2,3,2,0,1579.6281623485063,1425.8875222265226,14.0,2020-10-16,United Arab Emirates,,Plan 1
19,1,0,1,1,2,0,0,4,2,3,2,0,1640.9546719085079,1475.445660149137,14.0,2020-10-17,United Arab Emirates,,Plan 1
20,1,0,1,1,2,0,0,4,2,3,2,0,1705.6779754886495,1529.0668518010268,14.0,2020-10-18,United Arab Emirates,,Plan 1
21,1,0,1,1,2,0,0,4,2,3,2,0,1773.7709102634121,1586.6173139750651,14.0,2020-10-19,United Arab Emirates,,Plan 1
22,1,0,1,1,2,0,0,4,2,3,2,0,1845.2343880073845,1647.7882229694958,14.0,2020-10-20,United Arab Emirates,,Plan 1
23,1,0,1,1,2,0,0,4,2,3,2,0,1920.0915178670614,1712.4459395425158,14.0,2020-10-21,United Arab Emirates,,Plan 1
24,1,0,1,1,2,0,0,4,2,3,2,0,1998.3836751685283,1780.5344715788644,14.0,2020-10-22,United Arab Emirates,,Plan 1
25,1,0,1,1,2,0,0,4,2,3,2,0,2080.16761536613,1852.040107724239,14.0,2020-10-23,United Arab Emirates,,Plan 1
26,1,0,1,1,2,0,0,4,2,3,2,0,2165.5132386087353,1926.9770458242715,14.0,2020-10-24,United Arab Emirates,,Plan 1
27,1,0,1,1,2,0,0,4,2,3,2,0,2254.5018069111397,2005.380450313199,14.0,2020-10-25,United Arab Emirates,,Plan 1
