C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
1,0,1,1,2,0,0,4,2,3,2,0,874.5364893158506,953.1121269218468,14.0,2020-09-28,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,879.2222257098821,953.1121269218468,14.0,2020-09-29,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,906.3615451396164,953.1121269218468,14.0,2020-09-30,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,941.7963018384656,953.1121269218468,14.0,2020-10-01,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,981.0198405119444,953.1121269218468,14.0,2020-10-02,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1022.6289388391842,953.1121269218468,14.0,2020-10-03,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1066.2195470979857,953.1121269218468,14.0,2020-10-04,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1111.7104489599558,986.9941211567192,14.0,2020-10-05,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1159.1259387300847,1026.9803658738906,14.0,2020-10-06,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1208.5260341233025,1070.1467214429888,14.0,2020-10-07,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1259.984072116118,1115.6021171969392,14.0,2020-10-08,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1313.5795563098948,1163.110648025218,14.0,2020-10-09,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1369.3959019027186,1212.6487856057229,14.0,2020-10-10,United Arab Emirates,,Plan 1
