,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,1629.5075814146687,1186.2816869285111,0.12386535714285621,2021-03-21,United Arab Emirates,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,1408.768360674897,1186.2816869285111,0.12386535714285621,2021-03-22,United Arab Emirates,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,1259.7893473640827,1186.2816869285111,0.12386535714285621,2021-03-23,United Arab Emirates,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,1142.3253380565393,1186.2816869285111,0.12386535714285621,2021-03-24,United Arab Emirates,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,1041.5438434797022,1186.2816869285111,0.12386535714285621,2021-03-25,United Arab Emirates,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,951.7026617314369,1186.2816869285111,0.12386535714285621,2021-03-26,United Arab Emirates,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,870.3346757782508,1186.2816869285111,0.12386535714285621,2021-03-27,United Arab Emirates,,Plan 1
7,3,0,2,4,2,0,0,1,2,3,2,4,820.813535092389,1070.7539660253283,0.08671357142857071,2021-03-28,United Arab Emirates,,Plan 1
8,3,0,2,4,2,0,0,1,2,3,2,4,786.3691063350209,981.8397868339174,0.08671357142857071,2021-03-29,United Arab Emirates,,Plan 1
9,3,0,2,4,2,0,0,1,2,3,2,4,760.2796635302317,910.4812605719386,0.08671357142857071,2021-03-30,United Arab Emirates,,Plan 1
10,3,0,2,4,2,0,0,1,2,3,2,4,739.5432802463629,852.9409665990564,0.08671357142857071,2021-03-31,United Arab Emirates,,Plan 1
11,3,0,2,4,2,0,0,1,2,3,2,4,722.5852448467442,807.3754525086339,0.08671357142857071,2021-04-01,United Arab Emirates,,Plan 1
12,3,0,2,4,2,0,0,1,2,3,2,4,708.43800079281,772.6233580888301,0.08671357142857071,2021-04-02,United Arab Emirates,,Plan 1
13,3,0,2,4,2,0,0,1,2,3,2,4,696.437282221988,747.7808732950781,0.08671357142857071,2021-04-03,United Arab Emirates,,Plan 1
14,3,0,2,4,2,0,0,0,2,3,2,4,690.2894875306192,729.1345807862538,0.0743296428571422,2021-04-04,United Arab Emirates,,Plan 1
15,3,0,2,4,2,0,0,0,2,3,2,4,688.7994170127048,715.1960537402086,0.0743296428571422,2021-04-05,United Arab Emirates,,Plan 1
16,3,0,2,4,2,0,0,0,2,3,2,4,690.4436719764184,705.2194835182353,0.0743296428571422,2021-04-06,United Arab Emirates,,Plan 1
17,3,0,2,4,2,0,0,0,2,3,2,4,694.4160381193491,698.7727346429477,0.0743296428571422,2021-04-07,United Arab Emirates,,Plan 1
18,3,0,2,4,2,0,0,0,2,3,2,4,700.2172170326212,695.577302098073,0.0743296428571422,2021-04-08,United Arab Emirates,,Plan 1
19,3,0,2,4,2,0,0,0,2,3,2,4,707.5005941650718,695.443386865539,0.0743296428571422,2021-04-09,United Arab Emirates,,Plan 1
20,3,0,2,4,2,0,0,0,2,3,2,4,716.0089122355148,698.2393340103284,0.0743296428571422,2021-04-10,United Arab Emirates,,Plan 1
21,3,0,2,4,2,0,0,0,2,3,2,4,725.5444683969029,703.2757598483689,0.0743296428571422,2021-04-11,United Arab Emirates,,Plan 1
22,3,0,2,4,2,0,0,0,2,3,2,4,735.952611261127,710.0119304552865,0.0743296428571422,2021-04-12,United Arab Emirates,,Plan 1
23,3,0,2,4,2,0,0,0,2,3,2,4,747.111246099363,718.1072981871357,0.0743296428571422,2021-04-13,United Arab Emirates,,Plan 1
24,3,0,2,4,2,0,0,0,2,3,2,4,758.9235061232536,727.322650759122,0.0743296428571422,2021-04-14,United Arab Emirates,,Plan 1
25,3,0,2,4,2,0,0,0,2,3,2,4,771.3123413674265,737.4790970926655,0.0743296428571422,2021-04-15,United Arab Emirates,,Plan 1
26,3,0,2,4,2,0,0,0,2,3,2,4,784.216405633632,748.4384987310314,0.0743296428571422,2021-04-16,United Arab Emirates,,Plan 1
27,3,0,2,4,2,0,0,0,2,3,2,4,797.5868707859523,760.0924928096654,0.0743296428571422,2021-04-17,United Arab Emirates,,Plan 1
28,2,0,2,1,2,0,0,0,2,3,2,4,821.1156148810744,773.7455137359756,0.050539464285713806,2021-04-18,United Arab Emirates,,Plan 1
29,2,0,2,1,2,0,0,0,2,3,2,4,854.7589779962941,790.7178518409993,0.050539464285713806,2021-04-19,United Arab Emirates,,Plan 1
30,2,0,2,1,2,0,0,0,2,3,2,4,896.2142216944336,812.0182769260094,0.050539464285713806,2021-04-20,United Arab Emirates,,Plan 1
31,2,0,2,1,2,0,0,0,2,3,2,4,944.611374699679,838.5451152940702,0.050539464285713806,2021-04-21,United Arab Emirates,,Plan 1
32,2,0,2,1,2,0,0,0,2,3,2,4,999.633028482199,871.1623563104664,0.050539464285713806,2021-04-22,United Arab Emirates,,Plan 1
33,2,0,2,1,2,0,0,0,2,3,2,4,1061.2088130469076,910.7327002266486,0.050539464285713806,2021-04-23,United Arab Emirates,,Plan 1
34,2,0,2,1,2,0,0,0,2,3,2,4,1129.404617094155,958.1352354135346,0.050539464285713806,2021-04-24,United Arab Emirates,,Plan 1
35,2,0,2,1,2,0,0,0,2,3,2,4,1204.3786903842522,1012.8871033425601,0.050539464285713806,2021-04-25,United Arab Emirates,,Plan 1
36,2,0,2,1,2,0,0,0,2,3,2,4,1286.3621192926805,1074.5446949563295,0.050539464285713806,2021-04-26,United Arab Emirates,,Plan 1
37,2,0,2,1,2,0,0,0,2,3,2,4,1375.6486199919707,1143.0353232845491,0.050539464285713806,2021-04-27,United Arab Emirates,,Plan 1
38,2,0,2,1,2,0,0,0,2,3,2,4,1472.5887971862962,1218.4606693540659,0.050539464285713806,2021-04-28,United Arab Emirates,,Plan 1
39,2,0,2,1,2,0,0,0,2,3,2,4,1577.5867402440215,1301.0254853200404,0.050539464285713806,2021-04-29,United Arab Emirates,,Plan 1
40,2,0,2,1,2,0,0,0,2,3,2,4,1691.098097657858,1391.0096688358904,0.050539464285713806,2021-04-30,United Arab Emirates,,Plan 1
