C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,1,2,3,2,4,1782.1662289750234,1657.1822413204447,0.08671357142857071,2021-03-21,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1692.009243734067,1657.1822413204447,0.08671357142857071,2021-03-22,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1655.2064811881633,1657.1822413204447,0.08671357142857071,2021-03-23,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1636.0635516718542,1657.1822413204447,0.08671357142857071,2021-03-24,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1622.7642004190307,1657.1822413204447,0.08671357142857071,2021-03-25,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1611.3972730429637,1657.1822413204447,0.08671357142857071,2021-03-26,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1600.6687102120093,1657.1822413204447,0.08671357142857071,2021-03-27,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1590.1509602980946,1629.7514886523113,0.08671357142857071,2021-03-28,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1579.7033419956838,1613.7077884039713,0.08671357142857071,2021-03-29,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1569.2801647347512,1601.4326003391984,0.08671357142857071,2021-03-30,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1558.867176389344,1590.4045467274111,0.08671357142857071,2021-03-31,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1548.4605195787587,1579.7897351788006,0.08671357142857071,2021-04-01,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1538.0597822827758,1569.3129507844885,0.08671357142857071,2021-04-02,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1527.665657854597,1558.8839433048581,0.08671357142857071,2021-04-03,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1526.267964351828,1549.75780102682,0.0743296428571422,2021-04-04,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1532.4146709308536,1543.0022765889871,0.0743296428571422,2021-04-05,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1543.488231135063,1539.3177146461746,0.0743296428571422,2021-04-06,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1558.1879787959124,1539.2206864185412,0.0743296428571422,2021-04-07,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1575.744095357206,1543.1183401011767,0.0743296428571422,2021-04-08,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1595.634189475394,1551.3432554144074,0.0743296428571422,2021-04-09,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1617.4732352227395,1564.1729093241422,0.0743296428571422,2021-04-10,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1640.964969616284,1580.5581957904928,0.0743296428571422,2021-04-11,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1665.8765508871124,1599.6241786413873,0.0743296428571422,2021-04-12,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1692.0230376284314,1620.8434367118687,0.0743296428571422,2021-04-13,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1719.2567108400524,1643.8532555753175,0.0743296428571422,2021-04-14,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1747.4592163035989,1668.3839871390878,0.0743296428571422,2021-04-15,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1776.5355534281907,1694.227039132344,0.0743296428571422,2021-04-16,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1806.4093907319095,1721.2179184907968,0.0743296428571422,2021-04-17,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1837.0193709018745,1749.2256901030246,0.0743296428571422,2021-04-18,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1868.3161702242535,1778.145635722616,0.0743296428571422,2021-04-19,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1900.2601510288089,1807.8937947798127,0.0743296428571422,2021-04-20,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1932.8194804506518,1838.4027618670407,0.0743296428571422,2021-04-21,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1965.9686085370356,1869.6183893289608,0.0743296428571422,2021-04-22,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1999.6870399525687,1901.4971731181574,0.0743296428571422,2021-04-23,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,2033.9583471185197,1934.0041668876734,0.0743296428571422,2021-04-24,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,2068.7693634670723,1967.111308682701,0.0743296428571422,2021-04-25,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,2104.1095281814105,2000.796074105152,0.0743296428571422,2021-04-26,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,2139.970354698577,2035.04038891512,0.0743296428571422,2021-04-27,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,2176.344994717196,2069.829748096054,0.0743296428571422,2021-04-28,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,2213.22788577583,2105.1525019873106,0.0743296428571422,2021-04-29,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,2250.6144628584616,2140.9992766881523,0.0743296428571422,2021-04-30,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,2288.500917364141,2177.3625010089554,0.0743296428571422,2021-05-01,United Arab Emirates,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2354.540091189008,2218.186890683517,0.050539464285713806,2021-05-02,United Arab Emirates,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2448.766659299527,2267.423623700391,0.050539464285713806,2021-05-03,United Arab Emirates,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2564.5967619572307,2328.084539023056,0.050539464285713806,2021-05-04,United Arab Emirates,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2699.4883059482545,2402.81929777035,0.050539464285713806,2021-05-05,United Arab Emirates,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2852.4486377533613,2494.136548052855,0.050539464285713806,2021-05-06,United Arab Emirates,,Plan 1
