,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,2,2,0,0,4,2,3,2,0,1690.530534411996,1359.503564139444,30.0,2021-03-21,United Arab Emirates,,Plan 1
1,3,0,2,2,2,0,0,4,2,3,2,0,1520.1007247774007,1359.503564139444,30.0,2021-03-22,United Arab Emirates,,Plan 1
2,3,0,2,2,2,0,0,4,2,3,2,0,1411.9516213974807,1359.503564139444,30.0,2021-03-23,United Arab Emirates,,Plan 1
3,3,0,2,2,2,0,0,4,2,3,2,0,1327.877622927732,1359.503564139444,30.0,2021-03-24,United Arab Emirates,,Plan 1
4,3,0,2,2,2,0,0,4,2,3,2,0,1254.5562186104914,1359.503564139444,30.0,2021-03-25,United Arab Emirates,,Plan 1
5,3,0,2,2,2,0,0,4,2,3,2,0,1187.2624315210662,1359.503564139444,30.0,2021-03-26,United Arab Emirates,,Plan 1
6,3,0,2,2,2,0,0,4,2,3,2,0,1124.2457953299415,1359.503564139444,30.0,2021-03-27,United Arab Emirates,,Plan 1
7,2,0,1,0,2,0,0,4,2,3,2,0,1096.881579380722,1274.696570563548,16.5,2021-03-28,United Arab Emirates,,Plan 1
8,2,0,1,0,2,0,0,4,2,3,2,0,1089.8530192282255,1213.2326126279513,16.5,2021-03-29,United Arab Emirates,,Plan 1
9,2,0,1,0,2,0,0,4,2,3,2,0,1094.2330893812707,1167.84425091135,16.5,2021-03-30,United Arab Emirates,,Plan 1
10,2,0,1,0,2,0,0,4,2,3,2,0,1106.3063311615833,1136.1912092304715,16.5,2021-03-31,United Arab Emirates,,Plan 1
11,2,0,1,0,2,0,0,4,2,3,2,0,1124.243980178261,1117.5751751687244,16.5,2021-04-01,United Arab Emirates,,Plan 1
12,2,0,1,0,2,0,0,4,2,3,2,0,1146.9694096701642,1111.8190291900241,16.5,2021-04-02,United Arab Emirates,,Plan 1
13,2,0,1,0,2,0,0,4,2,3,2,0,1173.7598120983478,1118.8924601569393,16.5,2021-04-03,United Arab Emirates,,Plan 1
14,2,0,1,0,2,0,0,4,2,3,2,0,1204.0934836516938,1134.2084464813638,16.5,2021-04-04,United Arab Emirates,,Plan 1
15,2,0,1,0,2,0,0,4,2,3,2,0,1237.5811606601321,1155.312466685922,16.5,2021-04-05,United Arab Emirates,,Plan 1
16,2,0,1,0,2,0,0,4,2,3,2,0,1273.928727887292,1180.983272186782,16.5,2021-04-06,United Arab Emirates,,Plan 1
17,2,0,1,0,2,0,0,4,2,3,2,0,1312.913673543895,1210.4986068128267,16.5,2021-04-07,United Arab Emirates,,Plan 1
