C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,2,2,0,0,0,4,2,3,2,0,1780.6407098684533,1651.8300638560665,23.0,2021-03-21,United Arab Emirates,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1689.1011050627649,1651.8300638560665,23.0,2021-03-22,United Arab Emirates,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1651.00991039996,1651.8300638560665,23.0,2021-03-23,United Arab Emirates,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1630.6329389841947,1651.8300638560665,23.0,2021-03-24,United Arab Emirates,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1616.1329304316544,1651.8300638560665,23.0,2021-03-25,United Arab Emirates,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1603.5891929374982,1651.8300638560665,23.0,2021-03-26,United Arab Emirates,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1591.7036593079404,1651.8300638560665,23.0,2021-03-27,United Arab Emirates,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1580.047173064813,1623.1738443126892,23.0,2021-03-28,United Arab Emirates,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1568.478430948631,1605.942033724956,23.0,2021-03-29,United Arab Emirates,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1556.9515043379681,1592.5051185732432,23.0,2021-03-30,United Arab Emirates,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1545.4520479135858,1580.3364198488705,23.0,2021-03-31,United Arab Emirates,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1533.9761617477634,1568.5997386083145,23.0,2021-04-01,United Arab Emirates,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1522.5234066206547,1557.0189119916226,23.0,2021-04-02,United Arab Emirates,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1511.0944512593144,1545.5033108418188,23.0,2021-04-03,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1522.4817028742907,1537.2796722431726,14.0,2021-04-04,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1553.6721966301438,1535.1644959119599,14.0,2021-04-05,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1598.336765656014,1541.0766761002524,14.0,2021-04-06,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1653.7347168010147,1556.5456287984564,14.0,2021-04-07,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1718.4999370865478,1582.9061681325684,14.0,2021-04-08,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1791.8598929461452,1621.3828090362101,14.0,2021-04-09,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1873.3464209736126,1673.1330904239674,14.0,2021-04-10,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1962.6778222046607,1736.0182503283054,14.0,2021-04-11,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2059.7029676192788,1808.308360469611,14.0,2021-04-12,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2164.3700771865674,1889.1702621168329,14.0,2021-04-13,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2276.706901944895,1978.1662885659587,14.0,2021-04-14,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2396.8069127920216,2075.0672850953115,14.0,2021-04-15,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2524.819218001482,2179.7757601032167,14.0,2021-04-16,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2660.940973368992,2292.2892675882713,14.0,2021-04-17,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2805.4115485021,2412.6797999164764,14.0,2021-04-18,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2958.5079915527144,2541.080517621253,14.0,2021-04-19,United Arab Emirates,,Plan 1
