,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,4788.621545692701,4042.4112699753896,0.12386535714285621,2021-03-27,United Kingdom,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,4385.255191141015,4042.4112699753896,0.12386535714285621,2021-03-28,United Kingdom,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,4146.166948589276,4042.4112699753896,0.12386535714285621,2021-03-29,United Kingdom,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,3966.804474444338,4042.4112699753896,0.12386535714285621,2021-03-30,United Kingdom,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,3811.3856520033232,4042.4112699753896,0.12386535714285621,2021-03-31,United Kingdom,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,3667.5814290004046,4042.4112699753896,0.12386535714285621,2021-04-01,United Kingdom,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,3531.06364895667,4042.4112699753896,0.12386535714285621,2021-04-02,United Kingdom,,Plan 1
7,3,0,2,3,2,0,0,2,2,3,2,4,3445.294791882505,3850.507448002504,0.09551267857142781,2021-04-03,United Kingdom,,Plan 1
8,3,0,2,3,2,0,0,2,2,3,2,4,3396.5487488892127,3709.2636705379614,0.09551267857142781,2021-04-04,United Kingdom,,Plan 1
9,3,0,2,3,2,0,0,2,2,3,2,4,3368.760438733713,3598.2055977014525,0.09551267857142781,2021-04-05,United Kingdom,,Plan 1
10,3,0,2,3,2,0,0,2,2,3,2,4,3354.7322920448014,3510.7667145015184,0.09551267857142781,2021-04-06,United Kingdom,,Plan 1
11,3,0,2,3,2,0,0,2,2,3,2,4,3350.6404232213567,3444.945967532666,0.09551267857142781,2021-04-07,United Kingdom,,Plan 1
12,3,0,2,3,2,0,0,2,2,3,2,4,3354.1054494186124,3400.163684735267,0.09551267857142781,2021-04-08,United Kingdom,,Plan 1
13,3,0,2,3,2,0,0,2,2,3,2,4,3363.4766009107493,3376.2226778715644,0.09551267857142781,2021-04-09,United Kingdom,,Plan 1
14,3,0,2,4,2,0,0,0,2,3,2,4,3397.450416327805,3369.3877670780357,0.0743296428571422,2021-04-10,United Kingdom,,Plan 1
15,3,0,2,4,2,0,0,0,2,3,2,4,3457.578907015579,3378.106361096088,0.0743296428571422,2021-04-11,United Kingdom,,Plan 1
16,3,0,2,4,2,0,0,0,2,3,2,4,3536.1760438017077,3402.0228761058015,0.0743296428571422,2021-04-12,United Kingdom,,Plan 1
17,3,0,2,4,2,0,0,0,2,3,2,4,3629.5596266452735,3441.283923905869,0.0743296428571422,2021-04-13,United Kingdom,,Plan 1
18,3,0,2,4,2,0,0,0,2,3,2,4,3735.655419219982,3496.286066191387,0.0743296428571422,2021-04-14,United Kingdom,,Plan 1
19,3,0,2,4,2,0,0,0,2,3,2,4,3853.133508865984,3567.575788969583,0.0743296428571422,2021-04-15,United Kingdom,,Plan 1
20,3,0,2,4,2,0,0,0,2,3,2,4,3981.0740402309743,3655.8039945867577,0.0743296428571422,2021-04-16,United Kingdom,,Plan 1
21,3,0,2,1,2,0,0,0,2,3,2,4,4132.756548955828,3760.8477278193322,0.06357517857142801,2021-04-17,United Kingdom,,Plan 1
22,3,0,2,1,2,0,0,0,2,3,2,4,4312.097398993015,3882.9217981018232,0.06357517857142801,2021-04-18,United Kingdom,,Plan 1
23,3,0,2,1,2,0,0,0,2,3,2,4,4514.851429342324,4022.732567464769,0.06357517857142801,2021-04-19,United Kingdom,,Plan 1
24,3,0,2,1,2,0,0,0,2,3,2,4,4739.346750361567,4181.273585138525,0.06357517857142801,2021-04-20,United Kingdom,,Plan 1
25,3,0,2,1,2,0,0,0,2,3,2,4,4984.95171846669,4359.744485030912,0.06357517857142801,2021-04-21,United Kingdom,,Plan 1
26,3,0,2,1,2,0,0,0,2,3,2,4,5251.536994217683,4559.516411509726,0.06357517857142801,2021-04-22,United Kingdom,,Plan 1
27,3,0,2,1,2,0,0,0,2,3,2,4,5539.273403518704,4782.11632055083,0.06357517857142801,2021-04-23,United Kingdom,,Plan 1
28,3,0,2,4,2,0,0,0,2,3,2,4,5830.645806078234,5024.671928711175,0.0743296428571422,2021-04-24,United Kingdom,,Plan 1
29,3,0,2,4,2,0,0,0,2,3,2,4,6117.92081535023,5282.646702476491,0.0743296428571422,2021-04-25,United Kingdom,,Plan 1
30,3,0,2,4,2,0,0,0,2,3,2,4,6406.353025043493,5552.861216148086,0.0743296428571422,2021-04-26,United Kingdom,,Plan 1
31,3,0,2,4,2,0,0,0,2,3,2,4,6698.532237033893,5832.744857101275,0.0743296428571422,2021-04-27,United Kingdom,,Plan 1
32,3,0,2,4,2,0,0,0,2,3,2,4,6996.100587108664,6120.051838335843,0.0743296428571422,2021-04-28,United Kingdom,,Plan 1
33,3,0,2,4,2,0,0,0,2,3,2,4,7300.319791875066,6412.73509514404,0.0743296428571422,2021-04-29,United Kingdom,,Plan 1
