C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,1,2,0,0,4,2,3,2,0,4977.960047819209,4642.158459240094,1.4022534516765282,2021-03-27,United Kingdom,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4732.4988567280625,4642.158459240094,1.4022534516765282,2021-03-28,United Kingdom,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4633.578828764699,4642.158459240094,1.4022534516765282,2021-03-29,United Kingdom,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4583.59441002947,4642.158459240094,1.4022534516765282,2021-03-30,United Kingdom,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4549.978845082422,4642.158459240094,1.4022534516765282,2021-03-31,United Kingdom,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4521.866347828139,4642.158459240094,1.4022534516765282,2021-04-01,United Kingdom,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4495.6318784286605,4642.158459240094,1.4022534516765282,2021-04-02,United Kingdom,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4470.066509641666,4569.602239500447,1.4022534516765282,2021-04-03,United Kingdom,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4444.767452853581,4528.497753232662,1.4022534516765282,2021-04-04,United Kingdom,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4419.600944199413,4497.929484009051,1.4022534516765282,2021-04-05,United Kingdom,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4394.522969560675,4470.919278227794,1.4022534516765282,2021-04-06,United Kingdom,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4369.519431443364,4445.1393619936425,1.4022534516765282,2021-04-07,United Kingdom,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4344.586265633999,4419.813635965908,1.4022534516765282,2021-04-08,United Kingdom,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,4319.722670610723,4394.683749134774,1.4022534516765282,2021-04-09,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4325.209447050307,4373.989883050294,1.0644411571334644,2021-04-10,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4363.496138054652,4362.379695221876,1.0644411571334644,2021-04-11,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4423.3456525628,4362.914653559503,1.0644411571334644,2021-04-12,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4499.4187660112375,4377.899767338155,1.0644411571334644,2021-04-13,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4588.707704661933,4409.21237779795,1.0644411571334644,2021-04-14,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4689.25686896027,4458.451035415988,1.0644411571334644,2021-04-15,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4799.673048697951,4527.015375142736,1.0644411571334644,2021-04-16,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4918.915237956845,4611.830488129384,1.0644411571334644,2021-04-17,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,5046.1893787119425,4709.358093937568,1.0644411571334644,2021-04-18,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,5180.88629963841,4817.5781863769425,1.0644411571334644,2021-04-19,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,5322.540357310337,4935.166985133957,1.0644411571334644,2021-04-20,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,5470.7995980154055,5061.180112755879,1.0644411571334644,2021-04-21,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,5625.403255823542,5194.915310879204,1.0644411571334644,2021-04-22,United Kingdom,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,5786.164379969211,5335.842643917956,1.0644411571334644,2021-04-23,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5980.95978396821,5487.563293348151,0.8389316239316235,2021-04-24,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6217.894530189881,5654.949743559285,0.8389316239316235,2021-04-25,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6488.685544125541,5841.778207057448,0.8389316239316235,2021-04-26,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6789.974763919767,6051.411693715938,0.8389316239316235,2021-04-27,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7120.321470858891,6287.057675550722,0.8389316239316235,2021-04-28,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7479.15521997462,6551.87938471516,0.8389316239316235,2021-04-29,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7866.390473008795,6849.0545408636735,0.8389316239316235,2021-04-30,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8282.269772583659,7177.813110665879,0.8389316239316235,2021-05-01,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8727.289082919178,7536.298046770064,0.8389316239316235,2021-05-02,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,9202.156035423706,7923.9366883840885,0.8389316239316235,2021-05-03,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,9707.763097098048,8340.763593123844,0.8389316239316235,2021-05-04,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,10245.168793774144,8787.170353540307,0.8389316239316235,2021-05-05,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,10815.584063385988,9263.803045456218,0.8389316239316235,2021-05-06,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,11420.36211738782,9771.513280367508,0.8389316239316235,2021-05-07,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,12060.990945697593,10311.330590812357,0.8389316239316235,2021-05-08,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,12739.087844531166,10884.444699614069,0.8389316239316235,2021-05-09,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,13456.39549307217,11492.193193563846,0.8389316239316235,2021-05-10,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,14214.779260678864,12136.052645503965,0.8389316239316235,2021-05-11,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,15016.225522160847,12817.632178130634,0.8389316239316235,2021-05-12,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,15862.840675975534,13538.668837071997,0.8389316239316235,2021-05-13,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,16756.850743797957,14301.02435513059,0.8389316239316235,2021-05-14,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,17700.601400260242,15106.682991496682,0.8389316239316235,2021-05-15,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,18696.5583307357,15957.750203811616,0.8389316239316235,2021-05-16,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,19747.307722646787,16856.451950893705,0.8389316239316235,2021-05-17,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,20855.556828997294,17805.13446065348,0.8389316239316235,2021-05-18,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,22024.13449974096,18806.264314593496,0.8389316239316235,2021-05-19,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,23255.99157578183,19862.42872885154,0.8389316239316235,2021-05-20,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,24554.20103114796,20976.335912758685,0.8389316239316235,2021-05-21,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,25921.95778562859,22150.815396382728,0.8389316239316235,2021-05-22,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,27362.57807078689,23388.81821639004,0.8389316239316235,2021-05-23,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,28879.498484289994,24693.41689662479,0.8389316239316235,2021-05-24,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,30476.2734163206,26067.804980528115,0.8389316239316235,2021-05-25,United Kingdom,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,32156.573098632987,27515.296208941265,0.8389316239316235,2021-05-26,United Kingdom,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,4357.734463194467,2847.1513007559633,4.326982248520709,2021-03-27,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3602.4022815706103,2847.1513007559633,4.326982248520709,2021-03-28,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3082.8285347851347,2847.1513007559633,4.326982248520709,2021-03-29,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2679.3143599055343,2847.1513007559633,4.326982248520709,2021-03-30,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2344.1944775072025,2847.1513007559633,4.326982248520709,2021-03-31,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2056.7986145469063,2847.1513007559633,4.326982248520709,2021-04-01,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1806.7863737818868,2847.1513007559633,4.326982248520709,2021-04-02,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1587.9555363107183,2451.4685969154275,4.326982248520709,2021-04-03,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1395.9184836301424,2136.256625781075,4.326982248520709,2021-04-04,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1227.2103006032296,1871.1683066122314,4.326982248520709,2021-04-05,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1078.9292780338624,1642.5418663448495,4.326982248520709,2021-04-06,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,948.5774244301248,1443.1680016195526,4.326982248520709,2021-04-07,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,833.9780038835089,1268.4793429533534,4.326982248520709,2021-04-08,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,733.2243278122926,1115.1133363862682,4.326982248520709,2021-04-09,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,644.6425838303446,980.3543431747863,4.326982248520709,2021-04-10,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,566.7620442226834,861.9034232594353,4.326982248520709,2021-04-11,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,498.2899347546658,757.7719424239259,4.326982248520709,2021-04-12,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,438.08972753455504,666.2234352097393,4.326982248520709,2021-04-13,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,385.162196716585,585.7355455363765,4.326982248520709,2021-04-14,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,338.62881257232516,514.9713753490645,4.326982248520709,2021-04-15,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,297.7171584601144,452.7560654416105,4.326982248520709,2021-04-16,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,261.7481145165063,398.05685553963366,4.326982248520709,2021-04-17,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,230.1245905704473,349.96579073217134,4.326982248520709,2021-04-18,United Kingdom,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,202.32161984154754,307.6846028874401,4.326982248520709,2021-04-19,United Kingdom,,Plan 2
