C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,4788.621545692701,4042.4112699753896,0.1238653571428562,2021-03-27,United Kingdom,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,4385.255191141015,4042.4112699753896,0.1238653571428562,2021-03-28,United Kingdom,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,4146.166948589276,4042.4112699753896,0.1238653571428562,2021-03-29,United Kingdom,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3966.8044744443378,4042.4112699753896,0.1238653571428562,2021-03-30,United Kingdom,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3811.385652003323,4042.4112699753896,0.1238653571428562,2021-03-31,United Kingdom,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3667.5814290004055,4042.4112699753896,0.1238653571428562,2021-04-01,United Kingdom,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3531.0636489566705,4042.4112699753896,0.1238653571428562,2021-04-02,United Kingdom,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,3445.294791882505,3850.507448002504,0.0955126785714278,2021-04-03,United Kingdom,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,3396.548748889213,3709.2636705379614,0.0955126785714278,2021-04-04,United Kingdom,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,3368.760438733713,3598.2055977014525,0.0955126785714278,2021-04-05,United Kingdom,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,3354.732292044801,3510.7667145015184,0.0955126785714278,2021-04-06,United Kingdom,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,3350.6404232213567,3444.945967532666,0.0955126785714278,2021-04-07,United Kingdom,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,3354.105449418613,3400.1636847352665,0.0955126785714278,2021-04-08,United Kingdom,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,3363.476600910749,3376.2226778715644,0.0955126785714278,2021-04-09,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,3397.450416327805,3369.387767078036,0.0743296428571422,2021-04-10,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,3457.5789070155797,3378.106361096088,0.0743296428571422,2021-04-11,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,3536.176043801708,3402.0228761058006,0.0743296428571422,2021-04-12,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,3629.5596266452735,3441.283923905869,0.0743296428571422,2021-04-13,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,3735.6554192199824,3496.286066191387,0.0743296428571422,2021-04-14,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,3853.133508865984,3567.5757889695838,0.0743296428571422,2021-04-15,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,3981.074040230975,3655.803994586757,0.0743296428571422,2021-04-16,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,4132.756548955828,3760.847727819332,0.063575178571428,2021-04-17,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,4312.097398993015,3882.9217981018232,0.063575178571428,2021-04-18,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,4514.851429342324,4022.732567464769,0.063575178571428,2021-04-19,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,4739.346750361567,4181.273585138525,0.063575178571428,2021-04-20,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,4984.95171846669,4359.744485030912,0.063575178571428,2021-04-21,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,5251.536994217683,4559.516411509726,0.063575178571428,2021-04-22,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,5539.273403518703,4782.116320550829,0.063575178571428,2021-04-23,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,5830.645806078233,5024.671928711175,0.0743296428571422,2021-04-24,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,6117.9208153502295,5282.646702476491,0.0743296428571422,2021-04-25,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,6406.353025043492,5552.861216148086,0.0743296428571422,2021-04-26,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,6698.532237033893,5832.744857101275,0.0743296428571422,2021-04-27,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,6996.1005871086645,6120.051838335843,0.0743296428571422,2021-04-28,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,7300.319791875066,6412.735095144039,0.0743296428571422,2021-04-29,United Kingdom,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,7612.265652245112,6708.876844962098,0.0743296428571422,2021-04-30,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,7958.355768030352,7012.835410955257,0.063575178571428,2021-05-01,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,8349.350059834109,7331.611017310098,0.063575178571428,2021-05-02,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,8779.19123427829,7670.587904343642,0.063575178571428,2021-05-03,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,9246.02164910408,8034.51496321081,0.063575178571428,2021-05-04,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,9749.582456604494,8427.869515995928,0.063575178571428,2021-05-05,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,10290.33134537038,8855.014023638118,0.063575178571428,2021-05-06,United Kingdom,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,10869.131057849843,9320.28051015308,0.063575178571428,2021-05-07,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11526.540987189515,9830.021255747244,0.0505394642857138,2021-05-08,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,12282.90900530879,10391.958247957911,0.0505394642857138,2021-05-09,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,13131.164110028429,11013.668658779365,0.0505394642857138,2021-05-10,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,14071.290260701006,11702.992746150352,0.0505394642857138,2021-05-11,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,15106.151575901473,12468.216906049916,0.0505394642857138,2021-05-12,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,16240.08962106742,13318.182374006636,0.0505394642857138,2021-05-13,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,17478.43903250973,14262.369227529482,0.0505394642857138,2021-05-14,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,18827.35449850784,15305.342586289238,0.0505394642857138,2021-05-15,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,20293.747609500515,16449.748101173773,0.0505394642857138,2021-05-16,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,21885.265925453143,17700.334074805873,0.0505394642857138,2021-05-17,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,23610.290477253453,19063.048391456225,0.0505394642857138,2021-05-18,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,25477.94270405681,20544.73283833556,0.0505394642857138,2021-05-19,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,27498.09691514225,22153.01959463196,0.0505394642857138,2021-05-20,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,29681.395884924063,23896.29914497687,0.0505394642857138,2021-05-21,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,32039.26817575637,25783.7153845838,0.0505394642857138,2021-05-22,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,34583.945824770184,27825.172272479467,0.0505394642857138,2021-05-23,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,37328.48116131041,30031.34587760194,0.0505394642857138,2021-05-24,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,40286.76155292017,32413.698888411465,0.0505394642857138,2021-05-25,United Kingdom,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,43473.52087110178,34984.495769417896,0.0505394642857138,2021-05-26,United Kingdom,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,4788.621545692701,4042.4112699753896,0.1238653571428562,2021-03-27,United Kingdom,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,4,4385.255191141015,4042.4112699753896,0.1238653571428562,2021-03-28,United Kingdom,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,4,4146.166948589276,4042.4112699753896,0.1238653571428562,2021-03-29,United Kingdom,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,4,3966.8044744443378,4042.4112699753896,0.1238653571428562,2021-03-30,United Kingdom,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,4,3811.385652003323,4042.4112699753896,0.1238653571428562,2021-03-31,United Kingdom,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,4,3667.5814290004055,4042.4112699753896,0.1238653571428562,2021-04-01,United Kingdom,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,4,3531.0636489566705,4042.4112699753896,0.1238653571428562,2021-04-02,United Kingdom,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,4,3400.2367107425957,3844.070579268232,0.1238653571428562,2021-04-03,United Kingdom,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,4,3274.440900483321,3685.3828234599896,0.1238653571428562,2021-04-04,United Kingdom,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,4,3153.3396525303333,3543.5503525944264,0.1238653571428562,2021-04-05,United Kingdom,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,4,3036.710495962037,3410.679784239812,0.1238653571428562,2021-04-06,United Kingdom,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,4,2924.373670322509,3283.963786856839,0.1238653571428562,2021-04-07,United Kingdom,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,4,2816.167593986036,3162.333238997642,0.1238653571428562,2021-04-08,United Kingdom,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,4,2711.9404338780123,3045.3156368435493,0.1238653571428562,2021-04-09,United Kingdom,,Plan 2
3,0,2,4,2,0,0,0,2,3,2,4,2659.111353922868,2939.4405858693017,0.0743296428571422,2021-04-10,United Kingdom,,Plan 2
3,0,2,4,2,0,0,0,2,3,2,4,2649.58250800863,2850.175101230061,0.0743296428571422,2021-04-11,United Kingdom,,Plan 2
3,0,2,4,2,0,0,0,2,3,2,4,2666.776739529355,2780.666113658493,0.0743296428571422,2021-04-12,United Kingdom,,Plan 2
3,0,2,4,2,0,0,0,2,3,2,4,2703.155320703748,2733.01537433588,0.0743296428571422,2021-04-13,United Kingdom,,Plan 2
3,0,2,4,2,0,0,0,2,3,2,4,2754.71401023475,2708.7782800376285,0.0743296428571422,2021-04-14,United Kingdom,,Plan 2
3,0,2,4,2,0,0,0,2,3,2,4,2818.9898470568764,2709.1814590477484,0.0743296428571422,2021-04-15,United Kingdom,,Plan 2
3,0,2,4,2,0,0,0,2,3,2,4,2894.3044441470647,2735.233460514756,0.0743296428571422,2021-04-16,United Kingdom,,Plan 2
3,0,2,1,2,0,0,0,2,3,2,4,2989.812086231715,2782.4764222731624,0.063575178571428,2021-04-17,United Kingdom,,Plan 2
3,0,2,1,2,0,0,0,2,3,2,4,3107.435430024674,2847.883982561168,0.063575178571428,2021-04-18,United Kingdom,,Plan 2
3,0,2,1,2,0,0,0,2,3,2,4,3243.523472902124,2930.2763730429933,0.063575178571428,2021-04-19,United Kingdom,,Plan 2
3,0,2,1,2,0,0,0,2,3,2,4,3396.4854952092164,3029.323540829489,0.063575178571428,2021-04-20,United Kingdom,,Plan 2
3,0,2,1,2,0,0,0,2,3,2,4,3565.59272900252,3145.163357796312,0.063575178571428,2021-04-21,United Kingdom,,Plan 2
3,0,2,1,2,0,0,0,2,3,2,4,3750.5470852337153,3278.242963250147,0.063575178571428,2021-04-22,United Kingdom,,Plan 2
3,0,2,1,2,0,0,0,2,3,2,4,3951.313347644173,3429.2442351783056,0.063575178571428,2021-04-23,United Kingdom,,Plan 2
3,0,2,4,2,0,0,0,2,3,2,4,4155.210340844815,3595.7297001230336,0.0743296428571422,2021-04-24,United Kingdom,,Plan 2
