,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,2,2,0,0,4,2,3,2,0,4929.818539436827,4491.214328110117,30.0,2021-03-27,United Kingdom,,Plan 1
1,3,0,2,2,2,0,0,4,2,3,2,0,4645.741035113127,4491.214328110117,30.0,2021-03-28,United Kingdom,,Plan 1
2,3,0,2,2,2,0,0,4,2,3,2,0,4512.337995834501,4491.214328110117,30.0,2021-03-29,United Kingdom,,Plan 1
3,3,0,2,2,2,0,0,4,2,3,2,0,4429.834353258744,4491.214328110117,30.0,2021-03-30,United Kingdom,,Plan 1
4,3,0,2,2,2,0,0,4,2,3,2,0,4364.8127103276765,4491.214328110117,30.0,2021-03-31,United Kingdom,,Plan 1
5,3,0,2,2,2,0,0,4,2,3,2,0,4306.0781148986225,4491.214328110117,30.0,2021-04-01,United Kingdom,,Plan 1
6,3,0,2,2,2,0,0,4,2,3,2,0,4249.877547901321,4491.214328110117,30.0,2021-04-02,United Kingdom,,Plan 1
7,1,0,2,2,1,0,0,4,2,3,2,0,4246.947374837061,4393.661304595865,19.0,2021-04-03,United Kingdom,,Plan 1
8,1,0,2,2,1,0,0,4,2,3,2,0,4296.370356074981,4343.751207590415,19.0,2021-04-04,United Kingdom,,Plan 1
9,1,0,2,2,1,0,0,4,2,3,2,0,4377.12667049615,4324.43530397065,19.0,2021-04-05,United Kingdom,,Plan 1
10,1,0,2,2,1,0,0,4,2,3,2,0,4480.42870635537,4331.66306869874,19.0,2021-04-06,United Kingdom,,Plan 1
11,1,0,2,2,1,0,0,4,2,3,2,0,4601.9428914394,4365.538808857558,19.0,2021-04-07,United Kingdom,,Plan 1
12,1,0,2,2,1,0,0,4,2,3,2,0,4739.1492572046745,4427.40611490128,19.0,2021-04-08,United Kingdom,,Plan 1
13,1,0,2,2,1,0,0,4,2,3,2,0,4890.40048008194,4518.909390927082,19.0,2021-04-09,United Kingdom,,Plan 1
14,1,0,1,1,2,0,0,4,2,3,2,0,5080.355816213779,4637.967739695186,14.0,2021-04-10,United Kingdom,,Plan 1
15,1,0,1,1,2,0,0,4,2,3,2,0,5315.77972466481,4783.597649493732,14.0,2021-04-11,United Kingdom,,Plan 1
16,1,0,1,1,2,0,0,4,2,3,2,0,5588.7376516158165,4956.684932510827,14.0,2021-04-12,United Kingdom,,Plan 1
17,1,0,1,1,2,0,0,4,2,3,2,0,5896.294017268326,5158.951405498393,14.0,2021-04-13,United Kingdom,,Plan 1
18,1,0,1,1,2,0,0,4,2,3,2,0,6237.500569116484,5392.602502309404,14.0,2021-04-14,United Kingdom,,Plan 1
19,1,0,1,1,2,0,0,4,2,3,2,0,6612.344190753773,5660.201778530703,14.0,2021-04-15,United Kingdom,,Plan 1
20,1,0,1,1,2,0,0,4,2,3,2,0,7021.358165942395,5964.624305082197,14.0,2021-04-16,United Kingdom,,Plan 1
21,2,0,1,0,2,0,0,4,2,3,2,0,7447.4158621177685,6302.775740211339,16.5,2021-04-17,United Kingdom,,Plan 1
22,2,0,1,0,2,0,0,4,2,3,2,0,7882.510420906067,6669.45155396009,16.5,2021-04-18,United Kingdom,,Plan 1
23,2,0,1,0,2,0,0,4,2,3,2,0,8332.278533590617,7061.385965670777,16.5,2021-04-19,United Kingdom,,Plan 1
24,2,0,1,0,2,0,0,4,2,3,2,0,8799.69313529942,7476.157268246646,16.5,2021-04-20,United Kingdom,,Plan 1
25,2,0,1,0,2,0,0,4,2,3,2,0,9286.837731642074,7911.776862893159,16.5,2021-04-21,United Kingdom,,Plan 1
26,2,0,1,0,2,0,0,4,2,3,2,0,9795.489784571018,8366.511947724195,16.5,2021-04-22,United Kingdom,,Plan 1
27,2,0,1,0,2,0,0,4,2,3,2,0,10327.318112075558,8838.791940028932,16.5,2021-04-23,United Kingdom,,Plan 1
28,2,0,1,0,2,0,0,4,2,3,2,0,10883.954507905133,9329.726032284269,16.5,2021-04-24,United Kingdom,,Plan 1
29,2,0,1,0,2,0,0,4,2,3,2,0,11467.023896298213,9841.799385911718,16.5,2021-04-25,United Kingdom,,Plan 1
30,2,0,1,0,2,0,0,4,2,3,2,0,12078.160279943664,10376.92534967644,16.5,2021-04-26,United Kingdom,,Plan 1
31,2,0,1,0,2,0,0,4,2,3,2,0,12719.017418859608,10936.828818756467,16.5,2021-04-27,United Kingdom,,Plan 1
32,2,0,1,0,2,0,0,4,2,3,2,0,13391.277195331217,11523.177313569202,16.5,2021-04-28,United Kingdom,,Plan 1
33,2,0,1,0,2,0,0,4,2,3,2,0,14096.65664304082,12137.62972192203,16.5,2021-04-29,United Kingdom,,Plan 1
34,2,0,1,0,2,0,0,4,2,3,2,0,14836.91402939275,12781.8577101102,16.5,2021-04-30,United Kingdom,,Plan 1
35,3,0,1,0,2,0,0,4,2,3,2,0,15558.640153728316,13449.669945227799,21.5,2021-05-01,United Kingdom,,Plan 1
36,3,0,1,0,2,0,0,4,2,3,2,0,16238.595085239245,14131.322972219376,21.5,2021-05-02,United Kingdom,,Plan 1
37,3,0,1,0,2,0,0,4,2,3,2,0,16893.807180750886,14819.272529477548,21.5,2021-05-03,United Kingdom,,Plan 1
38,3,0,1,0,2,0,0,4,2,3,2,0,17533.06954503919,15506.994261788917,21.5,2021-05-04,United Kingdom,,Plan 1
39,3,0,1,0,2,0,0,4,2,3,2,0,18162.079881085665,16188.537502610981,21.5,2021-05-05,United Kingdom,,Plan 1
40,3,0,1,0,2,0,0,4,2,3,2,0,18785.139796273594,16858.320810215664,21.5,2021-05-06,United Kingdom,,Plan 1
41,3,0,1,0,2,0,0,4,2,3,2,0,19405.746764067717,17511.011200883517,21.5,2021-05-07,United Kingdom,,Plan 1
42,2,0,1,0,2,0,0,4,2,3,2,0,20103.393087541608,18160.261619999703,16.5,2021-05-08,United Kingdom,,Plan 1
43,2,0,1,0,2,0,0,4,2,3,2,0,20905.841702631744,18827.011136770056,16.5,2021-05-09,United Kingdom,,Plan 1
44,2,0,1,0,2,0,0,4,2,3,2,0,21792.320251000914,19526.79871823435,16.5,2021-05-10,United Kingdom,,Plan 1
45,2,0,1,0,2,0,0,4,2,3,2,0,22754.628884878475,20272.735766782815,16.5,2021-05-11,United Kingdom,,Plan 1
46,2,0,1,0,2,0,0,4,2,3,2,0,23789.27165503926,21076.62030591905,16.5,2021-05-12,United Kingdom,,Plan 1
47,2,0,1,0,2,0,0,4,2,3,2,0,24894.762584999055,21949.423561451254,16.5,2021-05-13,United Kingdom,,Plan 1
48,2,0,1,0,2,0,0,4,2,3,2,0,26070.658051521612,22901.55374537324,16.5,2021-05-14,United Kingdom,,Plan 1
49,1,0,1,1,2,0,0,4,2,3,2,0,27386.03562118984,23941.931250180125,14.0,2021-05-15,United Kingdom,,Plan 1
50,1,0,1,1,2,0,0,4,2,3,2,0,28870.812699303016,25079.784249704597,14.0,2021-05-16,United Kingdom,,Plan 1
51,1,0,1,1,2,0,0,4,2,3,2,0,30508.509340082448,26324.954119573384,14.0,2021-05-17,United Kingdom,,Plan 1
52,1,0,1,1,2,0,0,4,2,3,2,0,32294.722541743773,27687.824641982712,14.0,2021-05-18,United Kingdom,,Plan 1
53,1,0,1,1,2,0,0,4,2,3,2,0,34229.817643901064,29179.331211820117,14.0,2021-05-19,United Kingdom,,Plan 1
54,1,0,1,1,2,0,0,4,2,3,2,0,36316.414399940506,30810.995756811753,14.0,2021-05-20,United Kingdom,,Plan 1
55,1,0,1,1,2,0,0,4,2,3,2,0,38558.467195479825,32594.968491662927,14.0,2021-05-21,United Kingdom,,Plan 1
56,1,0,1,1,2,0,0,4,2,3,2,0,40960.88756467697,34534.23305501822,14.0,2021-05-22,United Kingdom,,Plan 1
57,1,0,1,1,2,0,0,4,2,3,2,0,43529.357585600985,36628.31089591794,14.0,2021-05-23,United Kingdom,,Plan 1
58,1,0,1,1,2,0,0,4,2,3,2,0,46270.21513629729,38879.983152520064,14.0,2021-05-24,United Kingdom,,Plan 1
59,1,0,1,1,2,0,0,4,2,3,2,0,49190.369355952316,41293.64698312128,14.0,2021-05-25,United Kingdom,,Plan 1
60,1,0,1,1,2,0,0,4,2,3,2,0,52297.22976018261,43874.705856875786,14.0,2021-05-26,United Kingdom,,Plan 1
61,3,3,2,4,2,3,2,4,2,3,2,4,4357.734463194467,2847.151300755963,78.00999999999999,2021-03-27,United Kingdom,,Plan 2
62,3,3,2,4,2,3,2,4,2,3,2,4,3602.4022815706103,2847.151300755963,78.00999999999999,2021-03-28,United Kingdom,,Plan 2
63,3,3,2,4,2,3,2,4,2,3,2,4,3082.8285347851347,2847.151300755963,78.00999999999999,2021-03-29,United Kingdom,,Plan 2
64,3,3,2,4,2,3,2,4,2,3,2,4,2679.314359905534,2847.151300755963,78.00999999999999,2021-03-30,United Kingdom,,Plan 2
65,3,3,2,4,2,3,2,4,2,3,2,4,2344.1944775072025,2847.151300755963,78.00999999999999,2021-03-31,United Kingdom,,Plan 2
66,3,3,2,4,2,3,2,4,2,3,2,4,2056.798614546906,2847.151300755963,78.00999999999999,2021-04-01,United Kingdom,,Plan 2
67,3,3,2,4,2,3,2,4,2,3,2,4,1806.786373781887,2847.151300755963,78.00999999999999,2021-04-02,United Kingdom,,Plan 2
68,3,3,2,4,2,3,2,4,2,3,2,4,1587.9555363107183,2451.4685969154275,78.00999999999999,2021-04-03,United Kingdom,,Plan 2
69,3,3,2,4,2,3,2,4,2,3,2,4,1395.9184836301424,2136.256625781075,78.00999999999999,2021-04-04,United Kingdom,,Plan 2
70,3,3,2,4,2,3,2,4,2,3,2,4,1227.2103006032298,1871.1683066122314,78.00999999999999,2021-04-05,United Kingdom,,Plan 2
71,3,3,2,4,2,3,2,4,2,3,2,4,1078.9292780338624,1642.5418663448497,78.00999999999999,2021-04-06,United Kingdom,,Plan 2
72,3,3,2,4,2,3,2,4,2,3,2,4,948.5774244301247,1443.1680016195528,78.00999999999999,2021-04-07,United Kingdom,,Plan 2
73,3,3,2,4,2,3,2,4,2,3,2,4,833.9780038835089,1268.4793429533534,78.00999999999999,2021-04-08,United Kingdom,,Plan 2
74,3,3,2,4,2,3,2,4,2,3,2,4,733.2243278122926,1115.1133363862684,78.00999999999999,2021-04-09,United Kingdom,,Plan 2
75,3,3,2,4,2,3,2,4,2,3,2,4,644.6425838303446,980.3543431747864,78.00999999999999,2021-04-10,United Kingdom,,Plan 2
76,3,3,2,4,2,3,2,4,2,3,2,4,566.7620442226834,861.9034232594352,78.00999999999999,2021-04-11,United Kingdom,,Plan 2
77,3,3,2,4,2,3,2,4,2,3,2,4,498.2899347546658,757.7719424239259,78.00999999999999,2021-04-12,United Kingdom,,Plan 2
78,3,3,2,4,2,3,2,4,2,3,2,4,438.08972753455504,666.2234352097393,78.00999999999999,2021-04-13,United Kingdom,,Plan 2
79,3,3,2,4,2,3,2,4,2,3,2,4,385.162196716585,585.7355455363765,78.00999999999999,2021-04-14,United Kingdom,,Plan 2
80,3,3,2,4,2,3,2,4,2,3,2,4,338.6288125723252,514.9713753490645,78.00999999999999,2021-04-15,United Kingdom,,Plan 2
81,3,3,2,4,2,3,2,4,2,3,2,4,297.7171584601144,452.7560654416105,78.00999999999999,2021-04-16,United Kingdom,,Plan 2
82,3,3,2,4,2,3,2,4,2,3,2,3,261.96903185074405,398.0884151588104,73.00999999999999,2021-04-17,United Kingdom,,Plan 2
83,3,3,2,4,2,3,2,4,2,3,2,3,230.63381411362744,350.0700965718024,73.00999999999999,2021-04-18,United Kingdom,,Plan 2
84,3,3,2,4,2,3,2,4,2,3,2,3,203.11862461020402,307.902766551165,73.00999999999999,2021-04-19,United Kingdom,,Plan 2
85,3,3,2,4,2,3,2,4,2,3,2,3,178.93191374223622,270.8802217236909,73.00999999999999,2021-04-20,United Kingdom,,Plan 2
86,3,3,2,4,2,3,2,4,2,3,2,3,157.65581198075375,238.37930961857214,73.00999999999999,2021-04-21,United Kingdom,,Plan 2
87,3,3,2,4,2,3,2,4,2,3,2,3,138.9304340558151,209.85096983049928,73.00999999999999,2021-04-22,United Kingdom,,Plan 2
88,3,3,2,4,2,3,2,4,2,3,2,3,122.44360583518478,184.81189088408078,73.00999999999999,2021-04-23,United Kingdom,,Plan 2
89,3,3,2,4,2,3,2,4,2,3,2,4,107.83326303626403,162.79249533915507,78.00999999999999,2021-04-24,United Kingdom,,Plan 2
90,3,3,2,4,2,3,2,4,2,3,2,4,94.92393965776253,143.40537041688864,78.00999999999999,2021-04-25,United Kingdom,,Plan 2
91,3,3,2,4,2,3,2,4,2,3,2,4,83.53539708998954,126.32205219971513,78.00999999999999,2021-04-26,United Kingdom,,Plan 2
92,3,3,2,4,2,3,2,4,2,3,2,4,73.49772527719962,111.26002527613848,78.00999999999999,2021-04-27,United Kingdom,,Plan 2
93,3,3,2,4,2,3,2,4,2,3,2,4,64.65599158066117,97.97433664755383,78.00999999999999,2021-04-28,United Kingdom,,Plan 2
94,3,3,2,4,2,3,2,4,2,3,2,4,56.87099535198744,86.25155968986415,78.00999999999999,2021-04-29,United Kingdom,,Plan 2
95,3,3,2,4,2,3,2,4,2,3,2,4,50.01858983009754,75.90512883199456,78.00999999999999,2021-04-30,United Kingdom,,Plan 2
96,3,3,2,4,2,3,2,4,2,3,2,2,44.062173536037896,66.79497318910511,70.00999999999999,2021-05-01,United Kingdom,,Plan 2
97,3,3,2,4,2,3,2,4,2,3,2,2,38.85314885723332,58.78486021760093,70.00999999999999,2021-05-02,United Kingdom,,Plan 2
98,3,3,2,4,2,3,2,4,2,3,2,2,34.28251653752436,51.74873442439162,70.00999999999999,2021-05-03,United Kingdom,,Plan 2
99,3,3,2,4,2,3,2,4,2,3,2,2,30.26392527915212,45.572477281813406,70.00999999999999,2021-05-04,United Kingdom,,Plan 2
