C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,1,0,2,0,0,4,2,3,2,0,5390.119487427634,6085.698828824324,16.5,2021-03-27,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,5490.959326438512,6085.698828824324,16.5,2021-03-28,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,5723.042679395542,6085.698828824324,16.5,2021-03-29,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,6008.273559120801,6085.698828824324,16.5,2021-03-30,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,6321.81868909673,6085.698828824324,16.5,2021-03-31,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,6656.1759143992285,6085.698828824324,16.5,2021-04-01,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,7009.502145891823,6085.698828824324,16.5,2021-04-02,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,7381.8215971683585,6370.227701644428,16.5,2021-04-03,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,7773.795115063758,6696.347100019463,16.5,2021-04-04,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,8186.321445414301,7048.244066593572,16.5,2021-04-05,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,8620.408952732238,7421.406265680919,16.5,2021-04-06,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,9077.135166170856,7815.0229052629375,16.5,2021-04-07,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,9557.634919264048,8229.517048815054,16.5,2021-04-08,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,10063.097784670641,8665.744997212028,16.5,2021-04-09,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,10594.768537048372,9124.737417194887,16.5,2021-04-10,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,11153.948603781533,9607.616487011712,16.5,2021-04-11,United Kingdom,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,11741.997834229389,10115.57025684244,16.5,2021-04-12,United Kingdom,,Plan 1
