C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
1,0,2,0,2,0,0,4,2,3,2,0,62360.87243060891,59428.49891107341,0.9252235371466134,2021-04-17,United States,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,59804.098408183396,59428.49891107341,0.9252235371466134,2021-04-18,United States,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,58984.85701676543,59428.49891107341,0.9252235371466134,2021-04-19,United States,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,58741.766605740624,59428.49891107341,0.9252235371466134,2021-04-20,United States,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,58688.47966594253,59428.49891107341,0.9252235371466134,2021-04-21,United States,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,58696.464240862326,59428.49891107341,0.9252235371466134,2021-04-22,United States,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,58722.95400941063,59428.49891107341,0.9252235371466134,2021-04-23,United States,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,58753.71633168088,58913.19089694082,0.9252235371466134,2021-04-24,United States,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,58784.011109024024,58767.464139918055,0.9252235371466134,2021-04-25,United States,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,58812.25762320697,58742.80708369543,0.9252235371466134,2021-04-26,United States,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,58837.926376581774,58756.544193815585,0.9252235371466134,2021-04-27,United States,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,58860.83811404352,58781.166829258604,0.9252235371466134,2021-04-28,United States,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,58880.93056122442,58807.5191607389,0.9252235371466134,2021-04-29,United States,,Plan 1
