C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,1,0,2,0,0,4,2,3,2,0,62563.963032616106,59892.84180675344,16.5,2021-04-17,United States,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,60117.84491142949,59892.84180675344,16.5,2021-04-18,United States,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,59382.275604113485,59892.84180675344,16.5,2021-04-19,United States,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,59215.20188363749,59892.84180675344,16.5,2021-04-20,United States,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,59235.88492520111,59892.84180675344,16.5,2021-04-21,United States,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,59317.37839270527,59892.84180675344,16.5,2021-04-22,United States,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,59417.34389757113,59892.84180675344,16.5,2021-04-23,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,59364.29282614911,59435.74606297245,14.0,2021-04-24,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,59464.8471022213,59342.460661656994,14.0,2021-04-25,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,59645.88147255509,59380.11864286294,14.0,2021-04-26,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,59876.4495389598,59474.58259362327,14.0,2021-04-27,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,60141.12584308226,59603.90272474912,14.0,2021-04-28,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,60430.83802401197,59762.96838636437,14.0,2021-04-29,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,60739.5285781686,59951.85191216401,14.0,2021-04-30,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,61062.82080730471,60194.498766614815,14.0,2021-05-01,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,61397.4096254337,60470.57912707374,14.0,2021-05-02,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,61740.737335398895,60769.844250337126,14.0,2021-05-03,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,62090.79534795617,61086.17936590804,14.0,2021-05-04,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,62445.990719033936,61415.44577675829,14.0,2021-05-05,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,62805.05046952363,61754.61898325995,14.0,2021-05-06,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,63166.950565389896,62101.393552863,14.0,2021-05-07,United States,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,63530.8623191392,62453.970911696495,14.0,2021-05-08,United States,,Plan 1
