C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,0,2968.981271816749,2772.733504570141,1.7391617357001965,2021-05-29,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2824.165501349579,2772.733504570141,1.7391617357001965,2021-05-30,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2767.1513723984795,2772.733504570141,1.7391617357001965,2021-05-31,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2738.8191601630983,2772.733504570141,1.7391617357001965,2021-06-01,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2719.6347566489912,2772.733504570141,1.7391617357001965,2021-06-02,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2703.148065356003,2772.733504570141,1.7391617357001965,2021-06-03,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2687.234404258089,2772.733504570141,1.7391617357001965,2021-06-04,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2671.1995139216874,2730.193253442276,1.7391617357001965,2021-06-05,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2654.8223342830584,2706.0013724327723,1.7391617357001965,2021-06-06,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2638.038513815637,2687.556678349509,1.7391617357001965,2021-06-07,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2620.835676476791,2670.701894965751,1.7391617357001965,2021-06-08,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2603.218765541633,2654.0710390932722,1.7391617357001965,2021-06-09,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2585.1985837001557,2637.221113142436,1.7391617357001965,2021-06-10,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2566.787969034709,2620.014479539096,1.7391617357001965,2021-06-11,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,2562.140217682436,2604.434580076345,1.4022534516765282,2021-06-12,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,2570.0408059143538,2592.322933166531,1.4022534516765282,2021-06-13,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,2585.896663598139,2584.8740974211732,1.4022534516765282,2021-06-14,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,2607.427461217124,2582.9586380983637,1.4022534516765282,2021-06-15,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,2633.279144495848,2587.2529779489664,1.4022534516765282,2021-06-16,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,2662.5257370323325,2598.299714139277,1.4022534516765282,2021-06-17,Uruguay,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,2694.476844256036,2616.540982028039,1.4022534516765282,2021-06-18,Uruguay,,Plan 1
