C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,2,0,0,4,2,3,2,0,3035.5837337801795,2993.2214070967293,30.0,2021-05-29,Uruguay,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2946.1339505046376,2993.2214070967293,30.0,2021-05-30,Uruguay,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2940.0846199793573,2993.2214070967293,30.0,2021-05-31,Uruguay,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2961.1172112251115,2993.2214070967293,30.0,2021-06-01,Uruguay,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2990.781967969413,2993.2214070967293,30.0,2021-06-02,Uruguay,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3023.020118763673,2993.2214070967293,30.0,2021-06-03,Uruguay,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3055.8282474547327,2993.2214070967293,30.0,2021-06-04,Uruguay,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3088.5303567693154,3000.785210380892,30.0,2021-06-05,Uruguay,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3120.884954476536,3025.749639519734,30.0,2021-06-06,Uruguay,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3152.792843772343,3056.1365286330183,30.0,2021-06-07,Uruguay,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3184.20140825741,3088.005699637632,30.0,2021-06-08,Uruguay,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3215.0732941134124,3120.047317658203,30.0,2021-06-09,Uruguay,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3245.37621820187,3151.812474720803,30.0,2021-06-10,Uruguay,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3275.079638651817,3183.134102034672,30.0,2021-06-11,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3308.037380832371,3214.4922483293944,29.0,2021-06-12,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3344.1418433198055,3246.3860895927187,29.0,2021-06-13,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3382.157135093391,3279.152416924296,29.0,2021-06-14,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3421.4361642962813,3313.043096358421,29.0,2021-06-15,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3461.5674050704224,3348.2565407808506,29.0,2021-06-16,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3502.249891641743,3384.9527798436898,29.0,2021-06-17,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3543.2452635420573,3423.2621548280104,29.0,2021-06-18,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3584.3566601998536,3462.736337594793,29.0,2021-06-19,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3625.4175895900207,3502.918587061967,29.0,2021-06-20,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3666.284964026518,3543.508276909557,29.0,2021-06-21,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3706.8342147756316,3584.279426978035,29.0,2021-06-22,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3746.9556159871613,3625.0491713947117,29.0,2021-06-23,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3786.5514312869664,3665.663677058316,29.0,2021-06-24,Uruguay,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3825.533676885306,3705.9905932502083,29.0,2021-06-25,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,3868.090166117897,3746.5239512384996,28.0,2021-06-26,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,3914.17986970379,3787.775705540468,28.0,2021-06-27,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,3962.43371281742,3830.0826696534527,28.0,2021-06-28,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4012.109555661573,3873.693432637159,28.0,2021-06-29,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4062.718303297135,3918.802387967156,28.0,2021-06-30,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4113.891648553649,3965.5652761481106,28.0,2021-07-01,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4165.331245573675,4014.1077859607344,28.0,2021-07-02,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4216.786171650652,4063.921501036842,28.0,2021-07-03,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4268.040864405751,4114.4730717085495,28.0,2021-07-04,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4318.9074331873135,4165.39788890425,28.0,2021-07-05,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4369.220167616033,4216.413690612029,28.0,2021-07-06,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4418.8313585915585,4267.286984225519,28.0,2021-07-07,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4467.608018376825,4317.817894200258,28.0,2021-07-08,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4515.429290715934,4367.831900649153,28.0,2021-07-09,Uruguay,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4562.1844134910025,4417.174506626346,28.0,2021-07-10,Uruguay,,Plan 1
