C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,1,2,4,2,3,2,4,10132.528349584572,9856.467167456174,0.21946059523809414,2021-01-10,Argentina,,Plan 1
3,0,2,4,2,1,2,4,2,3,2,4,9779.16605766808,9856.467167456174,0.21946059523809414,2021-01-11,Argentina,,Plan 1
3,0,2,4,2,1,2,4,2,3,2,4,9714.278988023816,9856.467167456174,0.21946059523809414,2021-01-12,Argentina,,Plan 1
3,0,2,4,2,1,2,4,2,3,2,4,9743.675796310197,9856.467167456174,0.21946059523809414,2021-01-13,Argentina,,Plan 1
3,0,2,4,2,1,2,4,2,3,2,4,9803.876824677513,9856.467167456174,0.21946059523809414,2021-01-14,Argentina,,Plan 1
3,0,2,4,2,1,2,4,2,3,2,4,9874.123527158374,9856.467167456174,0.21946059523809414,2021-01-15,Argentina,,Plan 1
3,0,2,4,2,1,2,4,2,3,2,4,9947.620628770675,9856.467167456174,0.21946059523809414,2021-01-16,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10153.993229990834,9859.533578942785,0.1238653571428562,2021-01-17,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10456.174659816666,9956.24909353544,0.1238653571428562,2021-01-18,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10822.80801595583,10114.610383240013,0.1238653571428562,2021-01-19,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,11241.29486820199,10328.55596493884,0.1238653571428562,2021-01-20,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,11705.781008801765,10600.256562670877,0.1238653571428562,2021-01-21,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,12213.141921330924,10934.402047552669,0.1238653571428562,2021-01-22,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,12761.580897874983,11336.396371710427,0.1238653571428562,2021-01-23,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,13295.921717632607,11785.243298516394,0.14124630952380854,2021-01-24,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,13821.998878900968,12266.075329814154,0.14124630952380854,2021-01-25,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,14349.168478468768,12769.841110173145,0.14124630952380854,2021-01-26,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,14881.69139603656,13289.897757006653,0.14124630952380854,2021-01-27,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,15422.028750206096,13820.79029149299,0.14124630952380854,2021-01-28,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,15971.91853829781,14357.758379631114,0.14124630952380854,2021-01-29,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,16532.743187140746,14896.495849526224,0.14124630952380854,2021-01-30,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,17105.66724058198,15440.745209947561,0.14124630952380854,2021-01-31,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,17691.698290764543,15993.559411642358,0.14124630952380854,2021-02-01,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,18291.7203307442,16556.781104824564,0.14124630952380854,2021-02-02,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,18906.51581388572,17131.75602166016,0.14124630952380854,2021-02-03,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,19536.782013325235,17719.577916391463,0.14124630952380854,2021-02-04,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,20183.14372063309,18321.18151386793,0.14124630952380854,2021-02-05,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,20846.16336876441,18937.384396957023,0.14124630952380854,2021-02-06,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,21526.349120029274,19568.91037973521,0.14124630952380854,2021-02-07,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,22224.161233707193,20216.405085869872,0.14124630952380854,2021-02-08,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,22940.01697034293,20880.44746295541,0.14124630952380854,2021-02-09,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,23674.294398780155,21561.5586893689,0.14124630952380854,2021-02-10,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,24427.335189236783,22260.20914307054,0.14124630952380854,2021-02-11,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,25199.446563213143,22976.8238348677,0.14124630952380854,2021-02-12,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,25990.902561468512,23711.786576682574,0.14124630952380854,2021-02-13,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,26801.94467859056,24465.443085048468,0.14124630952380854,2021-02-14,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,27632.781997959468,25238.10319422737,0.14124630952380854,2021-02-15,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,28483.590939556376,26030.042332686426,0.14124630952380854,2021-02-16,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,29354.51459602543,26841.502360864317,0.14124630952380854,2021-02-17,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,30245.661774613764,27672.69187306104,0.14124630952380854,2021-02-18,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,31157.105765371947,28523.78604479801,0.14124630952380854,2021-02-19,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,32088.882878699333,29394.926090116693,0.14124630952380854,2021-02-20,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,33040.99078938812,30286.218391659204,0.14124630952380854,2021-02-21,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,34013.38672460216,31197.733352608164,0.14124630952380854,2021-02-22,Argentina,,Plan 1
