C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,1,1,4,2,3,2,1,18693.090046992664,14168.156120629432,53.01,2021-04-17,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,16429.151111705054,14168.156120629432,53.01,2021-04-18,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,14923.683036633929,14168.156120629432,53.01,2021-04-19,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,13734.953619572607,14168.156120629432,53.01,2021-04-20,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,12704.520536646492,14168.156120629432,53.01,2021-04-21,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,11773.509973735181,14168.156120629432,53.01,2021-04-22,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,10918.184519120101,14168.156120629432,53.01,2021-04-23,Argentina,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,10578.725350391216,13008.96116397208,32.0,2021-04-24,Argentina,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,10472.532011173238,12158.01557818182,32.0,2021-04-25,Argentina,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,10494.380082426036,11525.25801329498,32.0,2021-04-26,Argentina,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,10601.754513963871,11077.658141065162,32.0,2021-04-27,Argentina,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,10774.355228989802,10801.92023997135,32.0,2021-04-28,Argentina,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,11000.411192631322,10691.477556956512,32.0,2021-04-29,Argentina,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,11272.029687575789,10742.026866735896,32.0,2021-04-30,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,11609.902433540945,10889.33787861443,31.0,2021-05-01,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,12000.307612674573,11107.591535971762,31.0,2021-05-02,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,12436.502447411509,11385.037588112546,31.0,2021-05-03,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,12914.63296981734,11715.448796091609,31.0,2021-05-04,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,13432.259992355159,12095.149476572375,31.0,2021-05-05,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,13987.779988707698,12521.91644744043,31.0,2021-05-06,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,14580.161228717925,12994.506667603591,31.0,2021-05-07,Argentina,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15133.883564223152,13497.932543415334,33.67,2021-05-08,Argentina,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15672.010988303664,14022.461597076634,33.67,2021-05-09,Argentina,,Plan 1
