C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,2,0,0,4,2,3,2,1,1064.7145372600703,971.327770786564,31.0,2020-04-01,Belgium,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,1006.1096938418007,971.327770786564,31.0,2020-04-02,Belgium,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,977.7003286295752,971.327770786564,31.0,2020-04-03,Belgium,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,959.2605338415246,971.327770786564,31.0,2020-04-04,Belgium,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,944.1897263591417,971.327770786564,31.0,2020-04-05,Belgium,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,930.3331055538703,971.327770786564,31.0,2020-04-06,Belgium,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,916.9864700199646,971.327770786564,31.0,2020-04-07,Belgium,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,927.7144659421592,951.7563320268622,0.0,2020-04-08,Belgium,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,981.1321995185331,948.1881185521097,0.0,2020-04-09,Belgium,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1063.2756891348324,960.4131700528607,0.0,2020-04-10,Belgium,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1171.062652279786,990.670615544041,0.0,2020-04-11,Belgium,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1305.1278216695862,1042.2332005883902,0.0,2020-04-12,Belgium,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1467.7538898087325,1119.0075983390848,0.0,2020-04-13,Belgium,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1662.2768921949635,1225.477658649799,0.0,2020-04-14,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1911.281017012189,1365.9871659455175,16.5,2020-04-15,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2134.7880386617653,1530.7951429659793,16.5,2020-04-16,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2340.3961742577108,1713.2409265549618,16.5,2020-04-17,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2531.214748452549,1907.5483688653565,16.5,2020-04-18,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2709.13184951463,2108.1203728432197,16.5,2020-04-19,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2875.784442385441,2309.267594639893,16.5,2020-04-20,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,3032.769909680295,2505.052311423511,16.5,2020-04-21,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3189.9120068600873,2687.713881401782,14.0,2020-04-22,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3346.846280704142,2860.865058836408,14.0,2020-04-23,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3504.061529403849,3027.102966714428,14.0,2020-04-24,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3662.252552637926,3188.679795883767,14.0,2020-04-25,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3822.1171816412075,3347.677700473278,14.0,2020-04-26,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3984.298205425149,3506.03680947895,14.0,2020-04-27,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,4149.371663640261,3665.5513457589454,14.0,2020-04-28,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,4306.341336520425,3825.0412499961376,16.5,2020-04-29,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,4458.681580060927,3983.874864189963,16.5,2020-04-30,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,4608.148378703301,4141.601556947027,16.5,2020-05-01,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,4755.8586648170585,4297.8310015440475,16.5,2020-05-02,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,4902.641155503272,4452.1915692386265,16.5,2020-05-03,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,5049.1579979673825,4604.314396744661,16.5,2020-05-04,Belgium,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,5195.953542852289,4753.82609377495,16.5,2020-05-05,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5357.943960134604,4904.055040005546,14.0,2020-05-06,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5531.337240084449,5057.291562866049,14.0,2020-05-07,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5714.594052075327,5215.355230490626,14.0,2020-05-08,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5906.968801885629,5379.7995357861355,14.0,2020-05-09,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,6108.028553630885,5551.997735518652,14.0,2020-05-10,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,6317.48764246745,5733.187684732947,14.0,2020-05-11,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,6535.145307726154,5924.500794000642,14.0,2020-05-12,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,6760.857932052559,6124.917075703207,14.0,2020-05-13,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,6994.523721015821,6333.943715836261,14.0,2020-05-14,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,7236.072403714991,6551.297766070499,14.0,2020-05-15,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,7485.457410439001,6776.79613872098,14.0,2020-05-16,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,7742.64955967016,7010.313425298019,14.0,2020-05-17,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,8007.631763665815,7251.762585469215,14.0,2020-05-18,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,8280.3944935249,7501.083897726179,14.0,2020-05-19,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,8560.93186255553,7758.237316369459,14.0,2020-05-20,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,8849.238176860117,8023.196524347216,14.0,2020-05-21,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,9145.30488665266,8295.944021909741,14.0,2020-05-22,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,9449.117846839996,8576.466941395596,14.0,2020-05-23,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,9760.654832102677,8864.753408885956,14.0,2020-05-24,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,10079.883238635171,9160.78933388158,14.0,2020-05-25,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,10406.75797004964,9464.555544813686,14.0,2020-05-26,Belgium,,Plan 1
