C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,1,2,2,2,0,1,4,2,3,2,0,35254.295441232716,30683.530591163515,35.67,2020-12-08,Brazil,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,32681.32224808751,30683.530591163515,35.67,2020-12-09,Brazil,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,31239.621042761974,30683.530591163515,35.67,2020-12-10,Brazil,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,30193.233071045186,30683.530591163515,35.67,2020-12-11,Brazil,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,29294.582717898316,30683.530591163515,35.67,2020-12-12,Brazil,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,28460.14682183209,30683.530591163515,35.67,2020-12-13,Brazil,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,27661.512795286806,30683.530591163515,35.67,2020-12-14,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,27420.615315396273,29564.433430329736,25.0,2020-12-15,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,27458.79053875848,28818.35747185416,25.0,2020-12-16,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,27665.940587252448,28307.831692495653,25.0,2020-12-17,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,27992.4419503598,27993.43296096917,25.0,2020-12-18,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,28411.608728477397,27867.29381962333,25.0,2020-12-19,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,28906.588610385683,27931.07121798813,25.0,2020-12-20,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,29465.547765700387,28188.79049947578,25.0,2020-12-21,Brazil,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,30222.35232094272,28589.03864312527,21.5,2020-12-22,Brazil,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,31170.97133533036,29119.350185492687,21.5,2020-12-23,Brazil,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,32269.64392334339,29777.02209064853,21.5,2020-12-24,Brazil,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,33499.0505515676,30563.68046224965,21.5,2020-12-25,Brazil,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,34848.8586084903,31483.287587965777,21.5,2020-12-26,Brazil,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,36312.97324599527,32541.34253591,21.5,2020-12-27,Brazil,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,37887.72707555721,33744.51100874669,21.5,2020-12-28,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,39401.719362124015,35055.849157486875,25.0,2020-12-29,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,40835.32973607359,36436.47178616448,25.0,2020-12-30,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,42227.03485964724,37858.95620563647,25.0,2020-12-31,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,43595.17197430853,39301.25926602802,25.0,2021-01-01,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,44950.776734376064,40744.390426868835,25.0,2021-01-02,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,46301.77443119578,42171.362024754635,25.0,2021-01-03,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,47654.42418280372,43566.60446864699,25.0,2021-01-04,Brazil,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,49354.6614831247,44988.453343075664,19.0,2021-01-05,Brazil,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,51429.44953340919,46501.899028409316,19.0,2021-01-06,Brazil,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,53803.153432263585,48155.6302530688,19.0,2021-01-07,Brazil,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,56446.644836674284,49991.55494769248,19.0,2021-01-08,Brazil,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,59348.260093405384,52048.33828469667,19.0,2021-01-09,Brazil,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,62503.96525146383,54362.93697330639,19.0,2021-01-10,Brazil,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,65913.84223025314,56971.42526579916,19.0,2021-01-11,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,69786.92629561144,59890.320239011555,16.5,2021-01-12,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,74166.64153318286,63138.490524693494,16.5,2021-01-13,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,79024.17390460489,66741.4934493137,16.5,2021-01-14,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,84359.93194634843,70729.10589355286,16.5,2021-01-15,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,90186.27307207424,75134.53631907699,16.5,2021-01-16,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,96521.73010995566,79994.21701314724,16.5,2021-01-17,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,103388.97126346304,85347.80687503438,16.5,2021-01-18,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,110813.99541821088,91208.81674969142,16.5,2021-01-19,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,118825.75418467613,97588.68998561904,16.5,2021-01-20,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,127455.93212086042,104507.51258794124,16.5,2021-01-21,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,136738.79061734173,111990.20668379744,16.5,2021-01-22,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,146711.03855281626,120065.17318104631,16.5,2021-01-23,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,157411.71037888524,128763.7417908934,16.5,2021-01-24,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,168882.0408150658,138119.89458397948,16.5,2021-01-25,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,179593.10350290238,147945.48145322115,25.0,2021-01-26,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,189165.3266920673,157993.9918114199,25.0,2021-01-27,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,197926.25370443225,168061.180609073,25.0,2021-01-28,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,206042.2528582049,177961.6752149106,25.0,2021-01-29,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,213624.1415495919,187520.68992873566,25.0,2021-01-30,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,220758.7163316877,196570.26220770745,25.0,2021-01-31,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,227518.26311610427,204946.86539357013,25.0,2021-02-01,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,233963.70899361142,212714.0947493857,25.0,2021-02-02,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,240146.14372489628,219997.0686112184,25.0,2021-02-03,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,246107.93274903935,226880.16561759077,25.0,2021-02-04,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,251883.7555200731,233428.95171214343,25.0,2021-02-05,Brazil,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,257501.59861070226,239697.15986373066,25.0,2021-02-06,Brazil,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,31157.946739921656,19443.07480301979,78.00999999999998,2020-12-08,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,25267.714091520756,19443.07480301979,78.00999999999998,2020-12-09,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,21203.01182593032,19443.07480301979,78.00999999999998,2020-12-10,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,18074.791071901327,19443.07480301979,78.00999999999998,2020-12-11,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,15516.466474205554,19443.07480301979,78.00999999999998,2020-12-12,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,13361.126537958171,19443.07480301979,78.00999999999998,2020-12-13,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,11520.466879700756,19443.07480301979,78.00999999999998,2020-12-14,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,9939.06545666848,16411.806048269336,78.00999999999998,2020-12-15,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,8576.839892071694,14027.395448348045,78.00999999999998,2020-12-16,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,7402.082984051653,12055.834185222522,78.00999999999998,2020-12-17,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,6388.502719351487,10386.364420572543,78.00999999999998,2020-12-18,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5513.8051478478055,8957.412802521436,78.00999999999998,2020-12-19,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4758.895502954063,7728.522654663706,78.00999999999998,2020-12-20,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4107.346830977996,6669.505504846168,78.00999999999998,2020-12-21,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3545.0002456233947,5756.067617554014,78.00999999999998,2020-12-22,Brazil,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3059.641788213603,4967.896459860001,78.00999999999998,2020-12-23,Brazil,,Plan 2
