C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,1,0,4,2,3,2,4,15628.833584343547,14077.939220267875,0.14124630952380854,2021-01-19,France,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,14669.507524238852,14077.939220267875,0.14124630952380854,2021-01-20,France,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,14193.294926435516,14077.939220267875,0.14124630952380854,2021-01-21,France,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,13880.290420094907,14077.939220267875,0.14124630952380854,2021-01-22,France,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,13623.793600487881,14077.939220267875,0.14124630952380854,2021-01-23,France,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,13388.2073313049,14077.939220267875,0.14124630952380854,2021-01-24,France,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,13161.647154969529,14077.939220267875,0.14124630952380854,2021-01-25,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,13562.470748878492,13782.744529487154,0.06357517857142801,2021-01-26,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,14412.992560471344,13746.099534663224,0.06357517857142801,2021-01-27,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,15578.995099340906,13944.056702221134,0.06357517857142801,2021-01-28,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,17030.960763243096,14394.152465528017,0.06357517857142801,2021-01-29,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,18775.09279203057,15130.05235003412,0.06357517857142801,2021-01-30,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,20832.312422618987,16193.495934507559,0.06357517857142801,2021-01-31,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,23232.131229018363,17632.136516514536,0.06357517857142801,2021-02-01,France,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,25481.243583996566,19334.818350102832,0.1114814285714277,2021-02-02,France,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,27481.30633515657,21201.720317915006,0.1114814285714277,2021-02-03,France,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,29307.9551109712,23163.00031957648,0.1114814285714277,2021-02-04,France,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,30995.922773867358,25157.9948925228,0.1114814285714277,2021-02-05,France,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,32567.916952303516,27128.398343990368,0.1114814285714277,2021-02-06,France,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,34042.501843387014,29015.56826124294,0.1114814285714277,2021-02-07,France,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,35436.03231213286,30758.982701687877,0.1114814285714277,2021-02-08,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,36506.38235721491,32334.00252643335,0.1238653571428562,2021-02-09,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,37314.903139647635,33738.80206993207,0.1238653571428562,2021-02-10,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,37920.917466150866,34969.22526352916,0.1238653571428562,2021-02-11,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,38363.372011413536,36021.71801175005,0.1238653571428562,2021-02-12,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,38671.93599398631,36893.72073199045,0.1238653571428562,2021-02-13,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,38870.629417344826,37583.45324255585,0.1238653571428562,2021-02-14,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,38979.23869049253,38089.62558232151,0.1238653571428562,2021-02-15,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,39014.080410960465,38447.868161428014,0.1238653571428562,2021-02-16,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,38988.55717983628,38686.961595740686,0.1238653571428562,2021-02-17,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,38913.62734573928,38828.77729282475,0.1238653571428562,2021-02-18,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,38798.21482369405,38890.8976945791,0.1238653571428562,2021-02-19,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,38649.56421636758,38887.701726347856,0.1238653571428562,2021-02-20,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,38473.54426112288,38830.975275459015,0.1238653571428562,2021-02-21,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,38274.903270012044,38730.35592967609,0.1238653571428562,2021-02-22,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,38057.481388410866,38593.698926454716,0.1238653571428562,2021-02-23,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,37824.38555222778,38427.38869393921,0.1238653571428562,2021-02-24,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,37578.13242310907,38236.603704992034,0.1238653571428562,2021-02-25,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,37320.764569040264,38025.539382898634,0.1238653571428562,2021-02-26,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,37053.94451936518,37797.5937118983,0.1238653571428562,2021-02-27,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,36779.03050814398,37555.5203186156,0.1238653571428562,2021-02-28,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,36497.13734634018,37301.55375809105,0.1238653571428562,2021-03-01,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,36209.185357663264,37037.511467984245,0.1238653571428562,2021-03-02,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,35915.93952624528,36764.87632141532,0.1238653571428562,2021-03-03,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,35618.04065488636,36484.86321166922,0.1238653571428562,2021-03-04,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,35316.03035713236,36198.472609968085,0.1238653571428562,2021-03-05,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,35010.3709657694,35906.533530882974,0.1238653571428562,2021-03-06,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,34701.46135640956,35609.73793777806,0.1238653571428562,2021-03-07,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,34389.64957923725,35308.668256763354,0.1238653571428562,2021-03-08,France,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,34642.54915136545,35084.8630844351,0.0955126785714278,2021-03-09,France,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,35333.238992650004,35001.620151064344,0.0955126785714278,2021-03-10,France,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,36326.78308671511,35102.869069897024,0.0955126785714278,2021-03-11,France,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,37562.896293340964,35423.84991792682,0.0955126785714278,2021-03-12,France,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,39010.303236840016,35995.268813794064,0.0955126785714278,2021-03-13,France,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,40650.412630382445,36845.11899579018,0.0955126785714278,2021-03-14,France,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,42471.17958514596,37999.62328234857,0.0955126785714278,2021-03-15,France,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,44464.54856016169,39402.76605503374,0.0955126785714278,2021-03-16,France,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,46625.21036559941,41015.90482259794,0.0955126785714278,2021-03-17,France,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,48949.886973402434,42819.20537783899,0.0955126785714278,2021-03-18,France,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,51436.85974198896,44801.200156217266,0.0955126785714278,2021-03-19,France,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,54085.626999568,46954.81783660697,0.0955126785714278,2021-03-20,France,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,13740.830430243714,8749.46607887396,0.4745260714285701,2021-01-19,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,11234.471100091709,8749.46607887396,0.4745260714285701,2021-01-20,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,9509.576726559633,8749.46607887396,0.4745260714285701,2021-01-21,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,8178.0025617666715,8749.46607887396,0.4745260714285701,2021-01-22,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,7082.024165675983,8749.46607887396,0.4745260714285701,2021-01-23,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,6151.402855805001,8749.46607887396,0.4745260714285701,2021-01-24,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5349.954711975008,8749.46607887396,0.4745260714285701,2021-01-25,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4655.468790057879,7451.557273133128,0.4745260714285701,2021-01-26,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4052.06440221807,6425.4991734368905,0.4745260714285701,2021-01-27,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3527.2002432321087,5570.873961532961,0.4745260714285701,2021-01-28,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3070.4344796408727,4841.221378372132,0.4745260714285701,2021-01-29,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2672.8527536747474,4211.33974808624,0.4745260714285701,2021-01-30,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2326.7590634156913,3664.962063459197,0.4745260714285701,2021-01-31,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2025.476855949802,3190.036655455596,0.4745260714285701,2021-02-01,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1763.201941746755,2776.8556771254352,0.4745260714285701,2021-02-02,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1534.8840982036695,2417.258490837664,0.4745260714285701,2021-02-03,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1336.127550512019,2104.2481061633653,0.4745260714285701,2021-02-04,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1163.105625935185,1831.7725556339813,0.4745260714285701,2021-02-05,France,,Plan 2
