C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,3,1,0,0,4,2,3,2,0,15400.43714700196,13322.713388102531,42.51,2021-01-19,France,,Plan 1
3,3,2,3,1,0,0,4,2,3,2,0,14239.702691237695,13322.713388102531,42.51,2021-01-20,France,,Plan 1
3,3,2,3,1,0,0,4,2,3,2,0,13582.35347216447,13322.713388102531,42.51,2021-01-21,France,,Plan 1
3,3,2,3,1,0,0,4,2,3,2,0,13102.263510255967,13322.713388102531,42.51,2021-01-22,France,,Plan 1
3,3,2,3,1,0,0,4,2,3,2,0,12689.201612539811,13322.713388102531,42.51,2021-01-23,France,,Plan 1
3,3,2,3,1,0,0,4,2,3,2,0,12305.791424329323,13322.713388102531,42.51,2021-01-24,France,,Plan 1
3,3,2,3,1,0,0,4,2,3,2,0,11939.243859188484,13322.713388102531,42.51,2021-01-25,France,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,11764.63215463072,12803.312674906641,33.67,2021-01-26,France,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,11685.47926724944,12438.423614336887,33.67,2021-01-27,France,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,11662.667171489924,12164.182714240525,33.67,2021-01-28,France,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,11678.169902073318,11960.740770214428,33.67,2021-01-29,France,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,11722.078029403147,11822.580258337766,33.67,2021-01-30,France,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,11788.02584689947,11748.61374727636,33.67,2021-01-31,France,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,11871.48655239121,11738.934132019605,33.67,2021-02-01,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,12022.51011683021,11775.773840905244,30.0,2021-02-02,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,12231.409546679524,11853.76388082383,30.0,2021-02-03,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,12482.319167522332,11970.857023114173,30.0,2021-02-04,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,12767.183023052496,12126.430326111198,30.0,2021-02-05,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13081.144758077608,12320.582715921835,30.0,2021-02-06,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13420.88556557677,12553.848390018591,30.0,2021-02-07,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13783.972405678556,12827.06065477393,30.0,2021-02-08,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,14212.190044809808,13139.87207305673,28.0,2021-02-09,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,14701.91127575509,13492.800891496096,28.0,2021-02-10,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,15242.615567636949,13887.128948655327,28.0,2021-02-11,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,15829.422365419287,14324.59171185058,28.0,2021-02-12,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,16459.721287511828,14807.245501769756,28.0,2021-02-13,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,17131.991757645483,15337.403529208144,28.0,2021-02-14,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,17845.354080491365,15917.600911324258,28.0,2021-02-15,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,18544.863304680068,16536.554234162868,30.0,2021-02-16,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,19230.29115194856,17183.46564504765,30.0,2021-02-17,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,19912.8291707976,17850.63901692774,30.0,2021-02-18,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,20597.875246414224,18531.846571355592,30.0,2021-02-19,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,21288.7208328538,19221.703649261584,30.0,2021-02-20,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,21987.76227179926,19915.385151283557,30.0,2021-02-21,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,22696.92009395476,20608.46601034975,30.0,2021-02-22,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,23808.637966312028,21360.433819154317,19.0,2021-02-23,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,25317.787737851188,22230.07618856898,19.0,2021-02-24,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,27158.855263719233,23265.22277327207,19.0,2021-02-25,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,29317.87239376453,24510.93665146497,19.0,2021-02-26,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,31800.886806237704,26012.674647662672,19.0,2021-02-27,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,34623.354826849514,27817.75929838413,19.0,2021-02-28,France,,Plan 1
