C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,1,0,4,2,3,2,4,14520.413024939658,14205.192824821206,0.14124630952380854,2021-03-28,Germany,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,14047.631842543968,14205.192824821206,0.14124630952380854,2021-03-29,Germany,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,13980.947472329599,14205.192824821206,0.14124630952380854,2021-03-30,Germany,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,14046.507542046216,14205.192824821206,0.14124630952380854,2021-03-31,Germany,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,14155.363657216772,14205.192824821206,0.14124630952380854,2021-04-01,Germany,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,14278.616499940119,14205.192824821206,0.14124630952380854,2021-04-02,Germany,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,14406.869734732105,14205.192824821206,0.14124630952380854,2021-04-03,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,14597.773732168584,14216.244354425336,0.1238653571428562,2021-04-04,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,14823.178267569116,14327.036700857505,0.1238653571428562,2021-04-05,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,15071.870456462968,14482.882841447983,0.1238653571428562,2021-04-06,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,15338.58713416873,14667.465640322627,0.1238653571428562,2021-04-07,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,15620.34706083022,14876.74898369598,0.1238653571428562,2021-04-08,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,15915.185108296997,15110.544499175534,0.1238653571428562,2021-04-09,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,16221.681367427915,15369.803303846362,0.1238653571428562,2021-04-10,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,16538.761125387726,15647.087217163382,0.1238653571428562,2021-04-11,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,16865.59326775426,15938.860788618402,0.1238653571428562,2021-04-12,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,17201.529049199897,16243.097730437963,0.1238653571428562,2021-04-13,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,17546.060319187873,16558.451042583554,0.1238653571428562,2021-04-14,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,17898.788980490674,16883.94274539219,0.1238653571428562,2021-04-15,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,18259.40382374847,17218.83113331383,0.1238653571428562,2021-04-16,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,18627.662482781765,17562.542721221518,0.1238653571428562,2021-04-17,Germany,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,19351.21601607319,17964.321991319448,0.08671357142857071,2021-04-18,Germany,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,20384.62797953554,18467.041235859633,0.08671357142857071,2021-04-19,Germany,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,21667.165558785346,19104.989308657558,0.08671357142857071,2021-04-20,Germany,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,23180.928096355005,19909.970419681427,0.08671357142857071,2021-04-21,Germany,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,24924.55966256581,20913.651945692163,0.08671357142857071,2021-04-22,Germany,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,26904.292305330167,22148.636014489544,0.08671357142857071,2021-04-23,Germany,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,29130.805956833614,23649.08508221124,0.08671357142857071,2021-04-24,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,31124.921987288082,25331.043078099083,0.1238653571428562,2021-04-25,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,32877.291054554786,27115.709231673263,0.1238653571428562,2021-04-26,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,34460.064934107315,28943.266285290683,0.1238653571428562,2021-04-27,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,35908.882725113835,30761.545517970517,0.1238653571428562,2021-04-28,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,37247.40429249437,32521.951893674595,0.1238653571428562,2021-04-29,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,38494.383760364704,34177.67924439382,0.1238653571428562,2021-04-30,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,39665.689570317874,35682.66261774871,0.1238653571428562,2021-05-01,Germany,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,41354.066993354485,37143.969047186765,0.0955126785714278,2021-05-02,Germany,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,43501.14852980267,38661.662972222184,0.0955126785714278,2021-05-03,Germany,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,46018.57951291549,40312.87934062335,0.0955126785714278,2021-05-04,Germany,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,48877.48962186953,42165.5374687313,0.0955126785714278,2021-05-05,Germany,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,52071.14100580418,44283.21414206127,0.0955126785714278,2021-05-06,Germany,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,55602.3022631781,46727.202499606035,0.0955126785714278,2021-05-07,Germany,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,59478.794843227624,49557.64611002173,0.0955126785714278,2021-05-08,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,62888.0862289664,52633.934572252,0.1238653571428562,2021-05-09,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,65860.82907239378,55828.17464976501,0.1238653571428562,2021-05-10,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,68523.01908835104,59043.09458911295,0.1238653571428562,2021-05-11,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,70938.5640180918,62194.67664571612,0.1238653571428562,2021-05-12,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,73149.8459572694,65205.92021021115,0.1238653571428562,2021-05-13,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,75189.82964476978,68004.1384075814,0.1238653571428562,2021-05-14,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,77085.78518860984,70519.422742636,0.1238653571428562,2021-05-15,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,78860.58648231378,72801.2084931142,0.1238653571428562,2021-05-16,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,80533.36756091008,74897.28542004511,0.1238653571428562,2021-05-17,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,82120.00261528126,76839.71163817799,0.1238653571428562,2021-05-18,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,83633.5375911477,78653.2792914717,0.1238653571428562,2021-05-19,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,85084.58968874367,80358.24268168231,0.1238653571428562,2021-05-20,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,86481.71195883332,81971.36872654852,0.1238653571428562,2021-05-21,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,87831.71877295307,83506.5020957404,0.1238653571428562,2021-05-22,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,89139.97004563556,84974.98546192925,0.1238653571428562,2021-05-23,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,90410.61622505686,86386.02098537878,0.1238653571428562,2021-05-24,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,91646.80671000306,87746.99299891049,0.1238653571428562,2021-05-25,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,92850.86558740382,89063.75414123277,0.1238653571428562,2021-05-26,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,94024.43915390363,90340.87549339847,0.1238653571428562,2021-05-27,Germany,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,12952.997437283871,9282.78306921307,0.4745260714285701,2021-03-28,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,11132.245837656345,9282.78306921307,0.4745260714285701,2021-03-29,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,9893.554481955949,9282.78306921307,0.4745260714285701,2021-03-30,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,8915.609726937639,9282.78306921307,0.4745260714285701,2021-03-31,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,8079.085703262759,9282.78306921307,0.4745260714285701,2021-04-01,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,7337.0824904807605,9282.78306921307,0.4745260714285701,2021-04-02,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,6668.905806914157,9282.78306921307,0.4745260714285701,2021-04-03,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,6063.5594930634925,8298.577648610159,0.4745260714285701,2021-04-04,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5513.829056635759,7495.946679892931,0.4745260714285701,2021-04-05,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5014.1440241827395,6798.888043068188,0.4745260714285701,2021-04-06,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4559.789439331259,6176.628001981561,0.4745260714285701,2021-04-07,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4146.600863596143,5614.844453457758,0.4745260714285701,2021-04-08,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3770.833729782183,5105.380344786534,0.4745260714285701,2021-04-09,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3429.0967306805555,4642.550476753162,0.4745260714285701,2021-04-10,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3118.3098655883514,4221.800529970999,0.4745260714285701,2021-04-11,Germany,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2835.672865523773,3839.2067883835716,0.4745260714285701,2021-04-12,Germany,,Plan 2
