C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,2,2,0,0,0,4,2,3,2,0,4104.238665087083,4044.958931230307,23.0,2020-11-10,Hungary,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,3983.480193907194,4044.958931230307,23.0,2020-11-11,Hungary,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,3974.557700784577,4044.958931230307,23.0,2020-11-12,Hungary,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,4001.739605438736,4044.958931230307,23.0,2020-11-13,Hungary,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,4040.576914480842,4044.958931230307,23.0,2020-11-14,Hungary,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,4083.168036461251,4044.958931230307,23.0,2020-11-15,Hungary,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,4126.951402452467,4044.958931230307,23.0,2020-11-16,Hungary,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,4124.452133642257,4047.846569595332,29.0,2020-11-17,Hungary,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,4096.5255818697815,4063.995910732845,29.0,2020-11-18,Hungary,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,4052.437562175512,4075.121605217264,29.0,2020-11-19,Hungary,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3997.208965545821,4074.474370946847,29.0,2020-11-20,Hungary,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3934.044390519906,4059.255438952428,29.0,2020-11-21,Hungary,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3865.207331291143,4028.1181953566975,29.0,2020-11-22,Hungary,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3792.381185728468,3980.322450110412,29.0,2020-11-23,Hungary,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,1,3739.194766386529,3925.2856833595933,26.0,2020-11-24,Hungary,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,1,3696.551558946178,3868.1465372276507,26.0,2020-11-25,Hungary,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,1,3660.5157646173866,3812.157709005061,26.0,2020-11-26,Hungary,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,1,3629.078138037925,3759.567590789648,26.0,2020-11-27,Hungary,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,1,3601.025113523325,3711.993408361565,26.0,2020-11-28,Hungary,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,1,3575.5263975366743,3670.6104178252117,26.0,2020-11-29,Hungary,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,1,3551.971154146919,3636.266127599277,26.0,2020-11-30,Hungary,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3566.562960316707,3611.604441017873,19.0,2020-12-01,Hungary,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3604.089763823183,3598.3956131431605,19.0,2020-12-02,Hungary,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3657.8171685008497,3598.010099412226,19.0,2020-12-03,Hungary,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3724.22746658868,3611.6028606337622,19.0,2020-12-04,Hungary,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3801.1510918250624,3640.19228610544,19.0,2020-12-05,Hungary,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3887.0777882149328,3684.699627630905,19.0,2020-12-06,Hungary,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3980.8800298772817,3745.9723241638135,19.0,2020-12-07,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,4099.138371953154,3822.0545258261627,16.5,2020-12-08,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,4235.3667779956895,3912.236956422236,16.5,2020-12-09,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,4386.721848212845,4016.366196381092,16.5,2020-12-10,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,4551.726063462697,4134.580281648809,16.5,2020-12-11,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,4729.486280241733,4267.199594279761,16.5,2020-12-12,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,4919.410574636298,4414.6757066256705,16.5,2020-12-13,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,5121.093841378878,4577.563393983042,16.5,2020-12-14,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,5334.262954074544,4754.009762857526,16.5,2020-12-15,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,5558.744852443173,4943.0637734928805,16.5,2020-12-16,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,5794.444861889339,5144.1670611609525,16.5,2020-12-17,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,6041.3304182894235,5356.967683279056,16.5,2020-12-18,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,6299.418157433139,5581.243665734971,16.5,2020-12-19,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,6568.763338571816,5816.865489154331,16.5,2020-12-20,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,6849.450954249665,6063.773648135872,16.5,2020-12-21,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,7175.5017243177945,6326.807758170623,14.0,2020-12-22,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,7540.237117653293,6609.878081772066,14.0,2020-12-23,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,7939.578540868427,6916.325750197652,14.0,2020-12-24,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,8372.096062528059,7249.292270803171,14.0,2020-12-25,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,8837.367664909001,7611.856486156866,14.0,2020-12-26,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,9335.422078711184,8007.093449033919,14.0,2020-12-27,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,9866.532976366841,8438.105166479229,14.0,2020-12-28,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,10309.225993568149,8885.78006208642,21.5,2020-12-29,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,10692.787591605698,9336.144415508195,21.5,2020-12-30,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,11032.46232817608,9777.984956552144,21.5,2020-12-31,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,11336.610431989016,10201.48700933228,21.5,2021-01-01,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,11611.012172947543,10597.721939052071,21.5,2021-01-02,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,11860.189372917319,10958.40298108152,21.5,2021-01-03,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,12087.84366544864,11275.733079521775,21.5,2021-01-04,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,12297.035597451097,11559.705880076484,21.5,2021-01-05,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,12490.288924355411,11816.491784755017,21.5,2021-01-06,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,12669.670252434838,12050.378631077696,21.5,2021-01-07,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,12836.858146405872,12264.699733137244,21.5,2021-01-08,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,12993.204446123704,12462.155772162412,21.5,2021-01-09,Hungary,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,3408.8936891271583,2034.5875432164505,78.00999999999998,2020-11-10,Hungary,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2713.0411140554347,2034.5875432164505,78.00999999999998,2020-11-11,Hungary,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2232.36595703805,2034.5875432164505,78.00999999999998,2020-11-12,Hungary,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1866.1357140008993,2034.5875432164505,78.00999999999998,2020-11-13,Hungary,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1571.3211761721896,2034.5875432164505,78.00999999999998,2020-11-14,Hungary,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1327.394776838264,2034.5875432164505,78.00999999999998,2020-11-15,Hungary,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1122.9603752831586,2034.5875432164505,78.00999999999998,2020-11-16,Hungary,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,950.6193955598517,1683.4055012782642,78.00999999999998,2020-11-17,Hungary,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,804.9528290232395,1410.821460559379,78.00999999999998,2020-11-18,Hungary,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,681.6891719611119,1189.2962055483874,78.00999999999998,2020-11-19,Hungary,,Plan 2
