C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,2217.320815508379,1620.145591240185,0.1238653571428562,2020-12-25,Hungary,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1888.7996460749093,1620.145591240185,0.1238653571428562,2020-12-26,Hungary,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1689.8122190816116,1620.145591240185,0.1238653571428562,2020-12-27,Hungary,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1547.0403827359635,1620.145591240185,0.1238653571428562,2020-12-28,Hungary,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1430.9540224973623,1620.145591240185,0.1238653571428562,2020-12-29,Hungary,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1329.4966826923308,1620.145591240185,0.1238653571428562,2020-12-30,Hungary,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1237.5953700907387,1620.145591240185,0.1238653571428562,2020-12-31,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1188.4862420640748,1473.1692236052845,0.0743296428571422,2021-01-01,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1164.5332707630969,1369.7025985607395,0.0743296428571422,2021-01-02,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1152.7947574303066,1292.985818324839,0.0743296428571422,2021-01-03,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1148.1310113318682,1235.9987652671111,0.0743296428571422,2021-01-04,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1148.2710742744944,1195.6154869495585,0.0743296428571422,2021-01-05,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1152.0259086578142,1170.262519230342,0.0743296428571422,2021-01-06,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1158.6497783007092,1158.9845775460522,0.0743296428571422,2021-01-07,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1167.6096360621311,1156.00220526006,0.0743296428571422,2021-01-08,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1178.496843136555,1157.9970013134116,0.0743296428571422,2021-01-09,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1190.988405942369,1163.4532368151345,0.0743296428571422,2021-01-10,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1204.8260134720856,1171.5525228351655,0.0743296428571422,2021-01-11,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1219.8022539072729,1181.7712627827054,0.0743296428571422,2021-01-12,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1235.750372812616,1193.7319005191055,0.0743296428571422,2021-01-13,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1252.5362455914715,1207.1442529892142,0.0743296428571422,2021-01-14,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1270.0519793291646,1221.7788734559338,0.0743296428571422,2021-01-15,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1288.2107779957546,1237.4522927215335,0.0743296428571422,2021-01-16,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1306.9428270530286,1254.0172100230561,0.0743296428571422,2021-01-17,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1326.1919910215572,1271.355206815838,0.0743296428571422,2021-01-18,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1345.9131596724087,1289.3710504965716,0.0743296428571422,2021-01-19,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1366.07011910175,1307.9881571093053,0.0743296428571422,2021-01-20,Hungary,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1386.6338398061719,1327.1449562828336,0.0743296428571422,2021-01-21,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1421.514086567223,1348.782400173985,0.050539464285713806,2021-01-22,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1471.2801409084345,1374.9351663043674,0.050539464285713806,2021-01-23,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1531.693406586707,1407.0423919520365,0.050539464285713806,2021-01-24,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1600.9866801587916,1446.298776114498,0.050539464285713806,2021-01-25,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1678.3938725541282,1493.7960208118866,0.050539464285713806,2021-01-26,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1763.5837511729349,1550.5836825363415,0.050539464285713806,2021-01-27,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1856.4386988386316,1617.6986623981213,0.050539464285713806,2021-01-28,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1956.9650398057206,1694.1916557179065,0.050539464285713806,2021-01-29,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2065.253968034304,1779.045059593031,0.050539464285713806,2021-01-30,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2181.462514824939,1871.8692179127786,0.050539464285713806,2021-01-31,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2305.8029448807692,1972.557255730204,0.050539464285713806,2021-02-01,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2438.5360189935045,2081.148990935829,0.050539464285713806,2021-02-02,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2579.966312651722,2197.7750711470844,0.050539464285713806,2021-02-03,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2730.438761779793,2322.6322229958223,0.050539464285713806,2021-02-04,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2890.3360359304475,2455.970936727925,0.050539464285713806,2021-02-05,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3060.0765148367527,2598.088443413989,0.050539464285713806,2021-02-06,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3240.1127036999324,2749.3241846818455,0.050539464285713806,2021-02-07,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3430.929977461913,2910.056617907724,0.050539464285713806,2021-02-08,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3633.045578649293,3080.7008407156927,0.050539464285713806,2021-02-09,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3847.007790755229,3261.7067661590513,0.050539464285713806,2021-02-10,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4073.3952153678215,3453.5576881001984,0.050539464285713806,2021-02-11,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4312.816113067567,3656.769127691216,0.050539464285713806,2021-02-12,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4565.9077658322085,3871.887877833423,0.050539464285713806,2021-02-13,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4833.335811502197,4099.491178948033,0.050539464285713806,2021-02-14,Hungary,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,5115.793496925042,4340.185967442766,0.050539464285713806,2021-02-15,Hungary,,Plan 1
