C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,2,2,0,1,4,2,3,2,2,10509.418864627873,8786.45883661405,45.01,2021-01-29,Italy,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,2,9589.669205587574,8786.45883661405,45.01,2021-01-30,Italy,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,2,9035.298123886165,8786.45883661405,45.01,2021-01-31,Italy,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,2,8615.240167117112,8786.45883661405,45.01,2021-02-01,Italy,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,2,8250.159838209727,8786.45883661405,45.01,2021-02-02,Italy,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,2,7912.595930986228,8786.45883661405,45.01,2021-02-03,Italy,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,2,7592.8297258836765,8786.45883661405,45.01,2021-02-04,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,7480.428820228111,8353.74597312837,29.0,2021-02-05,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,7495.052979373967,8054.515083669284,29.0,2021-02-06,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,7582.482122760941,7846.9699406513955,29.0,2021-02-07,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,7720.418431076787,7719.138264074207,29.0,2021-02-08,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,7898.036378488089,7668.8349126854,29.0,2021-02-09,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,8109.055097311226,7696.900507874686,29.0,2021-02-10,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,8349.321109947112,7804.970705598033,29.0,2021-02-11,Italy,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,8602.664657580779,7965.290110934128,30.0,2021-02-12,Italy,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,8867.597923585508,8161.367960107205,30.0,2021-02-13,Italy,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,9145.50868848844,8384.657469496848,30.0,2021-02-14,Italy,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,9436.54263097154,8629.818069481813,30.0,2021-02-15,Italy,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,9740.539139248242,8893.032749590406,30.0,2021-02-16,Italy,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,10057.31733430637,9171.355926303997,30.0,2021-02-17,Italy,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,10386.75425860756,9462.417804684064,30.0,2021-02-18,Italy,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,10904.996993932158,9791.32242416283,19.0,2021-02-19,Italy,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,11609.885001702558,10183.077721036696,19.0,2021-02-20,Italy,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,12471.77065190576,10658.258001524884,19.0,2021-02-21,Italy,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,13484.951028541696,11236.602058320621,19.0,2021-02-22,Italy,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,14653.19498026791,11938.410035609146,19.0,2021-02-23,Italy,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,15984.863785109343,12785.202385723855,19.0,2021-02-24,Italy,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,17491.255645778125,13800.13115531965,19.0,2021-02-25,Italy,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,18923.080352100482,14945.571635057984,30.0,2021-02-26,Italy,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,20240.933812806004,16178.57860807276,30.0,2021-02-27,Italy,,Plan 1
