C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,17589.059350294956,17616.799481259055,0.1238653571428562,2020-12-09,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,17158.26064094968,17616.799481259055,0.1238653571428562,2020-12-10,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,17210.97605945295,17616.799481259055,0.1238653571428562,2020-12-11,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,17423.21653405807,17616.799481259055,0.1238653571428562,2020-12-12,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,17689.591730565047,17616.799481259055,0.1238653571428562,2020-12-13,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,17975.805759754585,17616.799481259055,0.1238653571428562,2020-12-14,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,18270.686293738112,17616.799481259055,0.1238653571428562,2020-12-15,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,18570.58087121415,17757.01684139037,0.1238653571428562,2020-12-16,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,18874.281105550257,18002.162622047596,0.1238653571428562,2020-12-17,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,19181.372037122936,18283.647761714736,0.1238653571428562,2020-12-18,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,19491.69456107424,18579.14462271704,0.1238653571428562,2020-12-19,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,19805.17076456906,18881.370199003333,0.1238653571428562,2020-12-20,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,20121.746877897072,19187.933215880832,0.1238653571428562,2020-12-21,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,20441.374843093854,19498.031580074512,0.1238653571428562,2020-12-22,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,20764.00605547385,19811.37803496875,0.1238653571428562,2020-12-23,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,21089.58939691049,20127.85064802021,0.1238653571428562,2020-12-24,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,21418.0705213498,20447.37900290976,0.1238653571428562,2020-12-25,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,21749.39157212515,20769.90714734561,0.1238653571428562,2020-12-26,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,22083.491041808487,21095.381472665533,0.1238653571428562,2020-12-27,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,22420.303680717065,21423.74673021124,0.1238653571428562,2020-12-28,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,22759.76042293995,21754.944670189256,0.1238653571428562,2020-12-29,Italy,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,23029.608962916278,22078.60222839532,0.14124630952380854,2020-12-30,Italy,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,23238.339161966738,22385.566480546207,0.14124630952380854,2020-12-31,Italy,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,23404.59463071332,22669.355639026708,0.14124630952380854,2021-01-01,Italy,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,23538.421222027482,22924.931303298483,0.14124630952380854,2021-01-02,Italy,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,23646.33464770781,23148.194675569805,0.14124630952380854,2021-01-03,Italy,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,23733.091552246093,23335.73580007395,0.14124630952380854,2021-01-04,Italy,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,23802.374243803974,23484.680631625957,0.14124630952380854,2021-01-05,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,23933.42282207896,23613.79689722063,0.1238653571428562,2021-01-06,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,24116.913142993217,23739.30746593869,0.1238653571428562,2021-01-07,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,24334.267743787423,23872.11791066357,0.1238653571428562,2021-01-08,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,24576.319381642043,24020.389076322794,0.1238653571428562,2021-01-09,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,24837.594043851157,24190.56899005756,0.1238653571428562,2021-01-10,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,25114.30263424901,24387.884858915117,0.1238653571428562,2021-01-11,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,25403.583630731162,24616.629057047565,0.1238653571428562,2021-01-12,Italy,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,26398.0344030293,24968.71642575476,0.0743296428571422,2021-01-13,Italy,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,28021.393175565343,25526.499287550778,0.0743296428571422,2021-01-14,Italy,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,30145.648329331263,26356.696514057043,0.0743296428571422,2021-01-15,Italy,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,32743.053861425,27523.372868311744,0.0743296428571422,2021-01-16,Italy,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,35824.84222824237,29092.979751796207,0.0743296428571422,2021-01-17,Italy,,Plan 1
