C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,1,0,1,0,0,4,2,3,2,0,627.8919749850933,632.7618556839152,20.5,2020-10-02,Portugal,,Plan 1
3,0,1,0,1,0,0,4,2,3,2,0,594.6867070749215,632.7618556839152,20.5,2020-10-03,Portugal,,Plan 1
3,0,1,0,1,0,0,4,2,3,2,0,597.0258680467682,632.7618556839152,20.5,2020-10-04,Portugal,,Plan 1
3,0,1,0,1,0,0,4,2,3,2,0,614.075559135195,632.7618556839152,20.5,2020-10-05,Portugal,,Plan 1
3,0,1,0,1,0,0,4,2,3,2,0,637.6424728670795,632.7618556839152,20.5,2020-10-06,Portugal,,Plan 1
3,0,1,0,1,0,0,4,2,3,2,0,664.5236168630444,632.7618556839152,20.5,2020-10-07,Portugal,,Plan 1
3,0,1,0,1,0,0,4,2,3,2,0,693.4867908153052,632.7618556839152,20.5,2020-10-08,Portugal,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,711.5527105401676,644.7133893346403,30.0,2020-10-09,Portugal,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,724.0148322170778,663.1888357835196,30.0,2020-10-10,Portugal,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,733.1749361183082,682.6387026508827,30.0,2020-10-11,Portugal,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,740.14827853506,700.6490911365775,30.0,2020-10-12,Portugal,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,745.5486341244732,716.0642570304909,30.0,2020-10-13,Portugal,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,749.7587083092586,728.2406986656644,30.0,2020-10-14,Portugal,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,753.0420999621765,736.7485999723602,30.0,2020-10-15,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,769.3097911333542,744.9996114856727,19.0,2020-10-16,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,792.8503907480854,754.8332627043882,19.0,2020-10-17,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,821.1159280273088,767.3962615485309,19.0,2020-10-18,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,853.0199184950923,783.5207815428212,19.0,2020-10-19,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,888.0867776211335,803.8833734709157,19.0,2020-10-20,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,926.1017351326587,829.075234445687,19.0,2020-10-21,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,966.968225071604,859.6361094613194,19.0,2020-10-22,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1010.6496929661699,894.1132382945789,19.0,2020-10-23,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1057.145324367438,931.869657383058,19.0,2020-10-24,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1106.4793223706235,972.63585657496,19.0,2020-10-25,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1158.695644924165,1016.3038174933987,19.0,2020-10-26,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1213.85502625383,1062.8421387266412,19.0,2020-10-27,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1272.0330212485308,1112.2608938860517,19.0,2020-10-28,Portugal,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1333.318585365214,1164.5966596422816,19.0,2020-10-29,Portugal,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1401.5948704454572,1220.4459707107512,16.5,2020-10-30,Portugal,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1477.5147243180054,1280.4987421322608,16.5,2020-10-31,Portugal,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1560.1418795746454,1345.3076788756928,16.5,2020-11-01,Portugal,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1649.2168024161692,1415.3821299459785,16.5,2020-11-02,Portugal,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1744.768879843988,1491.2269661731445,16.5,2020-11-03,Portugal,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1846.9621397753976,1573.359697391268,16.5,2020-11-04,Portugal,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1956.0334770157888,1662.318967627065,16.5,2020-11-05,Portugal,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2078.9313267117686,1759.0813185222519,14.0,2020-11-06,Portugal,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2217.3464785985134,1864.771569133753,14.0,2020-11-07,Portugal,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2369.948572038696,1980.4582394857605,14.0,2020-11-08,Portugal,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2536.621129804721,2107.230286255554,14.0,2020-11-09,Portugal,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2717.77643495278,2246.2313655568096,14.0,2020-11-10,Portugal,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2914.0864256293903,2398.67769210738,14.0,2020-11-11,Portugal,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3126.3773191255877,2565.869669551637,14.0,2020-11-12,Portugal,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3355.588682585174,2748.2492918192656,14.0,2020-11-13,Portugal,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3602.758003168184,2946.165223900648,14.0,2020-11-14,Portugal,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3869.0154303839977,3160.317632235691,14.0,2020-11-15,Portugal,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,4155.582658913248,3391.5978506797665,14.0,2020-11-16,Portugal,,Plan 1
