C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,2,4,2,3,2,4,735.6279357315407,761.2184234117349,0.4745260714285701,2020-04-04,Portugal,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,726.7289867040746,761.2184234117349,0.4745260714285701,2020-04-05,Portugal,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,736.8120734817475,761.2184234117349,0.4745260714285701,2020-04-06,Portugal,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,753.2279697373187,761.2184234117349,0.4745260714285701,2020-04-07,Portugal,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,771.9809238672716,761.2184234117349,0.4745260714285701,2020-04-08,Portugal,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,791.8139635203287,761.2184234117349,0.4745260714285701,2020-04-09,Portugal,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,812.3371108398628,761.2184234117349,0.4745260714285701,2020-04-10,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,836.4061176688499,775.6153065456363,0.39631178571428455,2020-04-11,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,862.8547121594383,795.0618387535452,0.39631178571428455,2020-04-12,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,891.2339920486393,817.1221128345297,0.39631178571428455,2020-04-13,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,921.3463830251602,841.1390290185071,0.39631178571428455,2020-04-14,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,953.0923647424727,867.0120920006788,0.39631178571428455,2020-04-15,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,986.4178283157444,894.8126441143097,0.39631178571428455,2020-04-16,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,1021.2943153360933,924.6636733280568,0.39631178571428455,2020-04-17,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,1057.710427939486,956.2785747952904,0.39631178571428455,2020-04-18,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,1095.6673576831752,989.5375241558245,0.39631178571428455,2020-04-19,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,1135.1761433806364,1024.386402917538,0.39631178571428455,2020-04-20,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,1176.2557961766265,1060.802033367748,0.39631178571428455,2020-04-21,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,1218.9319339988638,1098.7791146900893,0.39631178571428455,2020-04-22,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,1263.2357453835389,1138.32453141406,0.39631178571428455,2020-04-23,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,1309.2031913287092,1179.4543708415765,0.39631178571428455,2020-04-24,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,1356.8743852957305,1222.1920790353254,0.39631178571428455,2020-04-25,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,1406.293099496803,1266.5671850087012,0.39631178571428455,2020-04-26,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,1457.5063718406832,1312.6143605029936,0.39631178571428455,2020-04-27,Portugal,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,1510.5641913703935,1360.3727026735314,0.39631178571428455,2020-04-28,Portugal,,Plan 1
