C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,1,4,2,3,2,2,554.5272486532616,426.85167019199264,62.01,2021-03-13,Portugal,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,489.98330540841584,426.85167019199264,62.01,2021-03-14,Portugal,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,447.70192272774096,426.85167019199264,62.01,2021-03-15,Portugal,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,414.53955700585027,426.85167019199264,62.01,2021-03-16,Portugal,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,385.794592225785,426.85167019199264,62.01,2021-03-17,Portugal,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,359.7356075494513,426.85167019199264,62.01,2021-03-18,Portugal,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,335.67945777344323,426.85167019199264,62.01,2021-03-19,Portugal,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,332.46104027860304,395.12792613847,32.0,2021-03-20,Portugal,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,340.42528616921015,373.7624948185834,32.0,2021-03-21,Portugal,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,354.8503367409471,360.4979825347558,32.0,2021-03-22,Portugal,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,374.2250622304533,354.7387689954133,32.0,2021-03-23,Portugal,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,398.08462795213615,356.49448838489207,32.0,2021-03-24,Portugal,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,426.33150719672545,366.00818833450273,32.0,2021-03-25,Portugal,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,459.02903958273066,383.62955716440086,32.0,2021-03-26,Portugal,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,1,494.60988810963363,406.79367828311945,34.67,2021-03-27,Portugal,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,1,533.3319740824421,434.3517765564384,34.67,2021-03-28,Portugal,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,1,575.6268052390234,465.8912720561635,34.67,2021-03-29,Portugal,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,1,621.8055969581479,501.25991987440557,34.67,2021-03-30,Portugal,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,1,672.1624929081528,540.413900582408,34.67,2021-03-31,Portugal,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,1,727.0076040464875,583.3676287038027,34.67,2021-04-01,Portugal,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,1,786.6781532991466,630.1746449490048,34.67,2021-04-02,Portugal,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,847.9322838229551,680.6492729080508,37.34,2021-04-03,Portugal,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,911.1047314995093,734.6168096819175,37.34,2021-04-04,Portugal,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,976.9294713392392,791.9457619819483,37.34,2021-04-05,Portugal,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,1045.8659797659939,852.5258166687836,37.34,2021-04-06,Portugal,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,1118.290041037499,916.2583235444044,37.34,2021-04-07,Portugal,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,1194.5539680679167,983.0506612617512,37.34,2021-04-08,Portugal,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,1275.0065104146738,1052.811855135398,37.34,2021-04-09,Portugal,,Plan 1
3,2,2,2,1,0,0,4,2,3,2,0,1362.7245376160706,1126.3536056772716,36.34,2021-04-10,Portugal,,Plan 1
3,2,2,2,1,0,0,4,2,3,2,0,1458.0103576739054,1204.4829808450427,36.34,2021-04-11,Portugal,,Plan 1
3,2,2,2,1,0,0,4,2,3,2,0,1560.9448903951325,1287.9137549958846,36.34,2021-04-12,Portugal,,Plan 1
3,2,2,2,1,0,0,4,2,3,2,0,1671.8708090564621,1377.3430163230944,36.34,2021-04-13,Portugal,,Plan 1
3,2,2,2,1,0,0,4,2,3,2,0,1791.242451585703,1473.4790749728375,36.34,2021-04-14,Portugal,,Plan 1
3,2,2,2,1,0,0,4,2,3,2,0,1919.5789387627126,1577.05407078638,36.34,2021-04-15,Portugal,,Plan 1
3,2,2,2,1,0,0,4,2,3,2,0,2057.450073037469,1688.8317225896365,36.34,2021-04-16,Portugal,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,2232.9081529526,1813.143667637712,28.0,2021-04-17,Portugal,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,2446.663517827408,1954.3798333739267,28.0,2021-04-18,Portugal,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,2697.8464710065746,2116.7943448898473,28.0,2021-04-19,Portugal,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,2988.6202825433174,2304.9014125308263,28.0,2021-04-20,Portugal,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,3322.538449490765,2523.657983660121,28.0,2021-04-21,Portugal,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,3704.038672769255,2778.580802803913,28.0,2021-04-22,Portugal,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4138.30892622201,3075.846353258847,28.0,2021-04-23,Portugal,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,4623.112330919657,3417.3040929684257,29.0,2021-04-24,Portugal,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,5164.012886387504,3805.496859905583,29.0,2021-04-25,Portugal,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,5768.225668635781,4244.122459566898,29.0,2021-04-26,Portugal,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,6443.023445996348,4737.6086257744755,29.0,2021-04-27,Portugal,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,7196.206428717417,5290.989765663996,29.0,2021-04-28,Portugal,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,8036.280374208368,5909.881437298155,29.0,2021-04-29,Portugal,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,8972.543861874936,6600.486428105715,29.0,2021-04-30,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,9805.590971866995,7340.840519669621,45.51,2021-05-01,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,10520.920734480229,8106.1130693971545,45.51,2021-05-02,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,11140.909837610683,8873.63937925071,45.51,2021-05-03,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,11677.622341271368,9621.439221432856,45.51,2021-05-04,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,12140.768368018647,10327.805212761605,45.51,2021-05-05,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,12539.401757291154,10971.108267487716,45.51,2021-05-06,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,12882.032533959824,11529.606649214129,45.51,2021-05-07,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,13176.450947079,12011.158074244417,45.51,2021-05-08,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,13429.590855505538,12426.68237724803,45.51,2021-05-09,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,13647.481434893609,12784.764034002732,45.51,2021-05-10,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,13835.27107885992,13092.999567943954,45.51,2021-05-11,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,13997.2955586485,13358.217738033933,45.51,2021-05-12,Portugal,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,538.9472489582861,384.37427931170237,78.00999999999998,2021-03-13,Portugal,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,461.8298358303955,384.37427931170237,78.00999999999998,2021-03-14,Portugal,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,409.6406399338734,384.37427931170237,78.00999999999998,2021-03-15,Portugal,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,368.6528313039335,384.37427931170237,78.00999999999998,2021-03-16,Portugal,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,333.72152437974995,384.37427931170237,78.00999999999998,2021-03-17,Portugal,,Plan 2
