C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,3,2,0,1,4,2,3,2,1,1082.1191104476104,923.8563089775964,46.51,2020-10-25,Slovenia,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,997.8691126359943,923.8563089775964,46.51,2020-10-26,Slovenia,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,947.3317873427375,923.8563089775964,46.51,2020-10-27,Slovenia,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,908.7373933745523,923.8563089775964,46.51,2020-10-28,Slovenia,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,874.8279774843139,923.8563089775964,46.51,2020-10-29,Slovenia,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,843.1708390122612,923.8563089775964,46.51,2020-10-30,Slovenia,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,812.9379425457051,923.8563089775964,46.51,2020-10-31,Slovenia,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,795.3818222012476,882.893839228116,35.67,2020-11-01,Slovenia,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,784.1847535965248,852.3675022224775,35.67,2020-11-02,Slovenia,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,776.7591336500569,827.9999802663804,35.67,2020-11-03,Slovenia,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,771.8746566956241,808.4481607408189,35.67,2020-11-04,Slovenia,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,768.8350228929432,793.3063100849089,35.67,2020-11-05,Slovenia,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,767.1854457868808,782.4512539098547,35.67,2020-11-06,Slovenia,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,766.6010143739917,775.831692742467,35.67,2020-11-07,Slovenia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,768.6324026588237,772.0103470935492,33.67,2020-11-08,Slovenia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,772.360705052043,770.3211973014805,33.67,2020-11-09,Slovenia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,777.3179052311748,770.4010218130687,33.67,2020-11-10,Slovenia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,783.2188300063224,772.0216180003114,33.67,2020-11-11,Slovenia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,789.8652730111905,775.0259394457753,33.67,2020-11-12,Slovenia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,797.1086254103677,779.3006793919876,33.67,2020-11-13,Slovenia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,804.8330720134824,784.7624019119148,33.67,2020-11-14,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,825.393440783194,792.8711216439679,23.0,2020-11-15,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,854.2694946122508,804.5723772954261,23.0,2020-11-16,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,889.6724189601229,820.6230221138472,23.0,2020-11-17,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,930.8157925676093,841.7083024797455,23.0,2020-11-18,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,977.3146309572256,868.4867821863219,23.0,2020-11-19,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1028.97162376527,901.6100676655935,23.0,2020-11-20,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1085.695573996656,941.7332822346184,23.0,2020-11-21,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,1137.3160064229069,986.2936487545774,29.0,2020-11-22,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,1186.592352628607,1033.768342756914,29.0,2020-11-23,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,1234.5906986521072,1083.0423827129116,29.0,2020-11-24,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,1281.831651181365,1133.1875053720196,29.0,2020-11-25,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,1328.641061861293,1183.3769955011721,29.0,2020-11-26,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,1375.2597530733135,1232.8467282594645,29.0,2020-11-27,Slovenia,,Plan 1
