C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,1,0,0,4,2,3,2,0,3327.034479853553,2981.685065874724,29.0,2021-03-05,Sweden,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3082.864901341962,2981.685065874724,29.0,2021-03-06,Sweden,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,2977.0742959298273,2981.685065874724,29.0,2021-03-07,Sweden,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,2921.524834626741,2981.685065874724,29.0,2021-03-08,Sweden,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,2884.2383285362994,2981.685065874724,29.0,2021-03-09,Sweden,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,2853.6139275613623,2981.685065874724,29.0,2021-03-10,Sweden,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,2825.444693273321,2981.685065874724,29.0,2021-03-11,Sweden,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,2769.016480098632,2901.968208766878,35.67,2021-03-12,Sweden,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,2699.0641474344047,2847.139529637227,35.67,2021-03-13,Sweden,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,2622.1355392958844,2796.4339929752355,35.67,2021-03-14,Sweden,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,2541.572157681217,2742.1550391258747,35.67,2021-03-15,Sweden,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,2459.323907625393,2681.452978995745,35.67,2021-03-16,Sweden,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,2376.6505091558092,2613.3153477949522,35.67,2021-03-17,Sweden,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,0,2294.417269796451,2537.454287298256,35.67,2021-03-18,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2278.464701567337,2467.3754617937852,16.5,2021-03-19,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2305.8250418135435,2411.1984467050906,16.5,2021-03-20,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2359.6181533149647,2373.695962993531,16.5,2021-03-21,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2432.797949801552,2358.1567904392928,16.5,2021-03-22,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2522.1302353697674,2367.1291229742037,16.5,2021-03-23,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2625.935978511771,2402.7413328821976,16.5,2021-03-24,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2743.2466929890115,2466.8598219097066,16.5,2021-03-25,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,2864.798248685666,2550.621757212325,19.0,2021-03-26,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,2989.3588126220498,2648.269438756397,19.0,2021-03-27,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3118.801788043199,2756.7242437175732,19.0,2021-03-28,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3253.865911728712,2874.019666850025,19.0,2021-03-29,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3394.9014774771185,2998.701272865361,19.0,2021-03-30,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3542.1321319183367,3129.586437637728,19.0,2021-03-31,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3695.7458343007893,3265.6577435394106,19.0,2021-04-01,Sweden,,Plan 1
