C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,3426.5203561473418,2554.9603022391807,0.1238653571428562,2020-11-13,Sweden,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2993.61481144083,2554.9603022391807,0.1238653571428562,2020-11-14,Sweden,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2702.2188463969896,2554.9603022391807,0.1238653571428562,2020-11-15,Sweden,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2471.262782093464,2554.9603022391807,0.1238653571428562,2020-11-16,Sweden,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2271.4817230348613,2554.9603022391807,0.1238653571428562,2020-11-17,Sweden,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2091.845556937886,2554.9603022391807,0.1238653571428562,2020-11-18,Sweden,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1927.7780396228945,2554.9603022391807,0.1238653571428562,2020-11-19,Sweden,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1833.1901031088148,2327.341694662249,0.0743296428571422,2020-11-20,Sweden,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1771.632533375554,2152.7727977957807,0.0743296428571422,2020-11-21,Sweden,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1728.5184177170254,2013.6727365557856,0.0743296428571422,2020-11-22,Sweden,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1697.3089895834494,1903.1079090543556,0.0743296428571422,2020-11-23,Sweden,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1674.5485491983366,1817.8317413634231,0.0743296428571422,2020-11-24,Sweden,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1658.0976491395104,1755.8677545350836,0.0743296428571422,2020-11-25,Sweden,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1646.4787684763073,1715.6821443712854,0.0743296428571422,2020-11-26,Sweden,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,1649.4231686918622,1689.4297251688638,0.06357517857142801,2020-11-27,Sweden,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,1661.5865972220215,1673.7088771469305,0.06357517857142801,2020-11-28,Sweden,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,1680.4259738378037,1666.8385280213274,0.06357517857142801,2020-11-29,Sweden,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,1704.5117858612923,1667.8674989181616,0.06357517857142801,2020-11-30,Sweden,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,1732.9147288753604,1676.2055245863082,0.06357517857142801,2020-12-01,Sweden,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,1764.9699521389666,1691.4729964433734,0.06357517857142801,2020-12-02,Sweden,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,1800.1762669315524,1713.42978193698,0.06357517857142801,2020-12-03,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1846.8437245152395,1741.6327184831766,0.050539464285713806,2020-12-04,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1905.5585768492301,1776.4858584299204,0.050539464285713806,2020-12-05,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1973.7148496545399,1818.3842692608828,0.050539464285713806,2020-12-06,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2050.1187276429814,1867.7566895154105,0.050539464285713806,2020-12-07,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2134.136825384082,1925.074131873799,0.050539464285713806,2020-12-08,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2225.3975458274153,1990.84950240072,0.050539464285713806,2020-12-09,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2323.6781613318553,2065.635487315049,0.050539464285713806,2020-12-10,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2428.856171535651,2148.7801226036795,0.050539464285713806,2020-12-11,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2540.8842149645607,2239.5409280487265,0.050539464285713806,2020-12-12,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2659.7748061053885,2337.5494932559905,0.050539464285713806,2020-12-13,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2785.589802948114,2442.6167897281525,0.050539464285713806,2020-12-14,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2918.4325763533284,2554.659039866616,0.050539464285713806,2020-12-15,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3058.441957488467,2673.6653843896233,0.050539464285713806,2020-12-16,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3205.7874207163973,2799.680992873129,0.050539464285713806,2020-12-17,Sweden,,Plan 1
