C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,1,0,0,4,2,3,2,0,869.9680272170898,672.0606647174667,29.0,2020-12-08,Tunisia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,764.3499250186276,672.0606647174667,29.0,2020-12-09,Tunisia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,699.1945304963216,672.0606647174667,29.0,2020-12-10,Tunisia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,650.5486315688089,672.0606647174667,29.0,2020-12-11,Tunisia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,609.4557467585311,672.0606647174667,29.0,2020-12-12,Tunisia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,572.5161029491906,672.0606647174667,29.0,2020-12-13,Tunisia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,538.3916890136962,672.0606647174667,29.0,2020-12-14,Tunisia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,506.512381772224,620.1384296539143,29.0,2020-12-15,Tunisia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,476.59666067444704,579.0308204618883,29.0,2020-12-16,Tunisia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,448.4739325932714,543.2135921900242,29.0,2020-12-17,Tunisia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,422.0185302169242,510.5664348540408,29.0,2020-12-18,Tunisia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,397.1250639253669,480.23348016358864,29.0,2020-12-19,Tunisia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,373.69907439309685,451.8310475127181,29.0,2020-12-20,Tunisia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,351.65338259572684,425.1541465958653,29.0,2020-12-21,Tunisia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,336.25723154239574,400.83198227731833,19.0,2020-12-22,Tunisia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,324.4828905003284,379.1014436810157,19.0,2020-12-23,Tunisia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,314.9446159526603,360.02582701807137,19.0,2020-12-24,Tunisia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,306.93546076128274,343.5853885244083,19.0,2020-12-25,Tunisia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,300.0448755605125,329.71679018657187,19.0,2020-12-26,Tunisia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,294.005173672164,318.3319472264387,19.0,2020-12-27,Tunisia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,288.627059970589,309.328186851419,19.0,2020-12-28,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,284.92741382177985,301.9953557484738,16.5,2020-12-29,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,282.27434110131037,295.9655629771855,16.5,2020-12-30,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,280.34728831298986,291.02308760008975,16.5,2020-12-31,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,278.9585418226241,287.0263848945671,16.5,2021-01-01,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,277.9836617935303,283.8747829278554,16.5,2021-01-02,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,277.332926428627,281.49303332163583,16.5,2021-01-03,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,276.93845019356206,279.82323192491765,16.5,2021-01-04,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,276.7475483279073,278.6546797115073,16.5,2021-01-05,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,276.7187952422855,277.86103030307515,16.5,2021-01-06,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,276.81939389889993,277.3570453867766,16.5,2021-01-07,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,277.0232776328928,277.08057907395784,16.5,2021-01-08,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,277.30968038662564,276.9842960158286,16.5,2021-01-09,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,277.66203278913986,277.0313112101876,16.5,2021-01-10,Tunisia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,278.06709860395995,277.1925466973873,16.5,2021-01-11,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,279.88234714119284,277.6403750992852,14.0,2021-01-12,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,282.55127903049566,278.4735870690295,14.0,2021-01-13,Tunisia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,285.82022054573576,279.75941944714896,14.0,2021-01-14,Tunisia,,Plan 1
