C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,765.6068682223728,586.0363536087042,0.1238653571428562,2020-09-28,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,675.6639724469218,586.0363536087042,0.1238653571428562,2020-09-29,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,616.0520843976918,586.0363536087042,0.1238653571428562,2020-09-30,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,568.968668524768,586.0363536087042,0.1238653571428562,2020-10-01,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,528.0693420171119,586.0363536087042,0.1238653571428562,2020-10-02,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,491.01617112071534,586.0363536087042,0.1238653571428562,2020-10-03,United Arab Emirates,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,456.8773685313477,586.0363536087042,0.1238653571428562,2020-10-04,United Arab Emirates,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,440.5746825755794,539.6031842305908,0.06357517857142801,2020-10-05,United Arab Emirates,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,433.8063329335466,505.0520928715373,0.06357517857142801,2020-10-06,United Arab Emirates,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,432.32063597671686,478.8047430971122,0.06357517857142801,2020-10-07,United Arab Emirates,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,434.3305605139743,459.57072766699883,0.06357517857142801,2020-10-08,United Arab Emirates,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,438.9491518019952,446.8392719219823,0.06357517857142801,2020-10-09,United Arab Emirates,,Plan 1
