C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
1,0,1,1,2,0,0,4,2,3,2,0,874.5364893158506,953.1121269218468,14.0,2020-09-28,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,879.2222257098821,953.1121269218468,14.0,2020-09-29,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,906.3615451396164,953.1121269218468,14.0,2020-09-30,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,941.7963018384655,953.1121269218468,14.0,2020-10-01,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,981.0198405119444,953.1121269218468,14.0,2020-10-02,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1022.6289388391842,953.1121269218468,14.0,2020-10-03,United Arab Emirates,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1066.2195470979857,953.1121269218468,14.0,2020-10-04,United Arab Emirates,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1108.049620091216,986.471145604042,16.5,2020-10-05,United Arab Emirates,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1147.0607665911625,1024.7337943013677,16.5,2020-10-06,United Arab Emirates,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1184.635063138878,1064.487154015548,16.5,2020-10-07,United Arab Emirates,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1221.425785622528,1104.4342231275568,16.5,2020-10-08,United Arab Emirates,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1257.8108975205726,1143.975802700218,16.5,2020-10-09,United Arab Emirates,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1294.0477064502065,1182.7499123589355,16.5,2020-10-10,United Arab Emirates,,Plan 1
