Country,Error
ABW__nan,0.0694111457463738
AFG__nan,0.0441294825074759
AGO__nan,0.0360051341084242
ALB__nan,0.0362877289387415
AND__nan,0.0428458255225165
ARE__nan,0.0406345909638654
ARG__nan,0.065834678715313
AUS__nan,0.1413986217176853
AUT__nan,0.0732197848751796
AZE__nan,0.0334035070489471
BDI__nan,0.0374007643270857
BEL__nan,0.060273379710297
BEN__nan,0.1710599234789906
BFA__nan,0.1119529044659377
BGD__nan,0.0590626257217428
BGR__nan,0.0492498843666457
BHR__nan,0.0305745105145219
BHS__nan,0.0542748552405383
BIH__nan,0.0254763160726712
BLR__nan,0.0434638762442641
BLZ__nan,0.0396899346625164
BMU__nan,0.132541273178244
BOL__nan,0.052910935561099
BRA__nan,0.0451246791541062
BRB__nan,0.1106253455774826
BRN__nan,0.0066954172673128
BTN__nan,0.0185268457104083
BWA__nan,0.0533439000790996
CAF__nan,0.0506662726992509
CAN__nan,0.0821738020019143
CHE__nan,0.0472886855018724
CHL__nan,0.0685793635397353
CHN__nan,0.223760163512839
CIV__nan,0.1143770691610701
CMR__nan,0.3290543622737677
COD__nan,0.0687355513316201
COG__nan,0.0891205954460186
COL__nan,0.0551312539941153
COM__nan,0.2984808404384869
CPV__nan,0.0684138120076994
CRI__nan,0.0580246184397593
CUB__nan,0.0961495591334326
CYP__nan,0.0547639089289683
CZE__nan,0.0674952018133527
DEU__nan,0.0383258823584972
DJI__nan,0.149187131236915
DMA__nan,0.0281259364996679
DNK__nan,0.0677980753180976
DOM__nan,0.070166441649292
DZA__nan,0.0704369807628054
ECU__nan,0.0707589231513601
EGY__nan,0.0400803674479098
ERI__nan,0.1010054105700215
ESP__nan,0.0842377930934521
EST__nan,0.1229534646900462
ETH__nan,0.0872621376150714
FIN__nan,0.0535770642114704
FJI__nan,0.0681692989522373
FRA__nan,0.1125080356252942
FRO__nan,0.1186931091184742
GAB__nan,0.0897488801224465
GBR__nan,0.0461840958485485
GBR__England,0.0400419069579816
GBR__Northern Ireland,0.0441312577047192
GBR__Scotland,0.0500079482493743
GBR__Wales,0.1591758713389299
GEO__nan,0.0462170937686506
GHA__nan,0.1019537315091707
GIN__nan,0.0537076543357288
GMB__nan,0.088117109975538
GRC__nan,0.0352258122361959
GRL__nan,0.3135820422191924
GTM__nan,0.0938977474429254
GUM__nan,0.066880478800047
GUY__nan,0.0978454366351951
HKG__nan,0.0632376685355587
HND__nan,0.0412549526528829
HRV__nan,0.0423566329762333
HTI__nan,0.1048800152169961
HUN__nan,0.0806394802700433
IDN__nan,0.0276676051982919
IND__nan,0.0618137262847403
IRL__nan,0.2185467048245176
IRN__nan,0.0442809098298082
IRQ__nan,0.084926909138979
ISL__nan,0.135750068099824
ISR__nan,0.0977910689889736
ITA__nan,0.0616468362502282
JAM__nan,0.0416028623722841
JOR__nan,0.0615011484615161
JPN__nan,0.0418539845467322
KAZ__nan,0.0714854913502328
KEN__nan,0.0487543428933807
KGZ__nan,0.0460669477533109
KHM__nan,0.1239296351355017
KOR__nan,0.0510209292733742
KWT__nan,0.0598910321963618
LAO__nan,0.0721461212133998
LBN__nan,0.0382205755070255
LBR__nan,0.0280641116532399
LBY__nan,0.0647526897266486
LIE__nan,0.0365088423390409
LKA__nan,0.0420047497028843
LSO__nan,0.1157935926535144
LTU__nan,0.0576038886817403
LUX__nan,0.059536383712228
LVA__nan,0.027085517753067
MAC__nan,0.0990296824094998
MAR__nan,0.0553030230233085
MCO__nan,0.0350421759373577
MDA__nan,0.0864973078358418
MDG__nan,0.1490268533579002
MEX__nan,0.1194559374224675
MLI__nan,0.1244605477925488
MLT__nan,0.0762381123182808
MMR__nan,0.0925264444756146
MNG__nan,0.0860320078606348
MOZ__nan,0.0379398606453696
MRT__nan,0.1657868857383126
MUS__nan,0.2007503641377623
MWI__nan,0.1723749662080875
MYS__nan,0.0562587011221833
NAM__nan,0.041760033608305
NER__nan,0.0486522787535074
NGA__nan,0.0870503634666403
NIC__nan,0.0452880889725425
NLD__nan,0.0476926756720592
NOR__nan,0.0586434109036141
NPL__nan,0.113166684086032
NZL__nan,0.268541297363942
OMN__nan,0.0615356820603893
PAK__nan,0.0781093312393754
PAN__nan,0.0393341700299465
PER__nan,0.0385049299563817
PHL__nan,0.0618649073946689
PNG__nan,0.0670449683527322
POL__nan,0.0359599392576127
PRI__nan,0.0353920958012656
PRT__nan,0.0796293818452211
PRY__nan,0.0857564910881804
PSE__nan,0.1073027430132302
